process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,30574.0,30574.0,30574.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
Ewk,ggF_2jM_MET_200_300,31225.078125,31225.078125,15035900.16
QCD_from_photon_purity,ggF_2jM_MET_200_300,1091.4632568359377,1091.4632568359377,59663.625
ggF,ggF_2jM_MET_200_300,0.005159802734851836,0.005159802734851836,3.0418769456446166e-05
data,ggF_2jM_MET_300_400,11118.0,11118.0,11118.0
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
Ewk,ggF_2jM_MET_300_400,11992.607421875,11992.607421875,2220562.72
QCD_from_photon_purity,ggF_2jM_MET_300_400,329.4574890136719,329.4574890136719,5436.099375
ggF,ggF_2jM_MET_300_400,0.004936530720442534,0.004936530720442534,2.7828861493617297e-05
data,ggF_2jM_MET_400_600,3680.0,3680.0,3680.0
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_400_600,3982.71484375,3982.71484375,240073.76
QCD_from_photon_purity,ggF_2jM_MET_400_600,73.61612701416016,73.61612701416016,271.28548828125
data,ggF_2jM_MET_600_2000,536.0,536.0,536.0
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_600_2000,613.372802734375,613.372802734375,5492.320625000001
