process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Qcd,ggF_2jM_MET_600_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ggF_2jM_MET_600_2000,51.81872177124024,51.81872177124024,13.067724609375
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Zinv,ggF_2jM_MET_600_2000,225.3187561035156,225.3187561035156,277.40462890625
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
ttH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
data,ggF_3j_MET_600_2000,0.0,0.0,0.0
Qcd,ggF_3j_MET_600_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ggF_3j_MET_600_2000,72.94834899902344,72.94834899902344,15.6113232421875
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
Zinv,ggF_3j_MET_600_2000,341.9150695800781,341.9150695800781,464.1240234375
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
ttH,ggF_3j_MET_600_2000,0.0,0.0,0.0
data,ggF_4j_MET_400_600,0.0,0.0,0.0
Qcd,ggF_4j_MET_400_600,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ggF_4j_MET_400_600,537.9410400390625,537.9410400390625,258.149921875
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
Zinv,ggF_4j_MET_400_600,1606.8575439453125,1606.8575439453125,2241.3146875
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
ttH,ggF_4j_MET_400_600,0.0,0.0,0.0
data,ggF_4j_MET_600_2000,0.0,0.0,0.0
Qcd,ggF_4j_MET_600_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ggF_4j_MET_600_2000,48.70534133911133,48.70534133911133,9.652242431640627
VBF,ggF_4j_MET_600_2000,0.0,0.0,0.0
VH,ggF_4j_MET_600_2000,0.0,0.0,0.0
Zinv,ggF_4j_MET_600_2000,251.77557373046875,251.77557373046875,236.41423828125
ggF,ggF_4j_MET_600_2000,0.0,0.0,0.0
ttH,ggF_4j_MET_600_2000,0.0,0.0,0.0
data,ggF_2jM_MET_200_300,0.0,0.0,0.0
Qcd,ggF_2jM_MET_200_300,100.93152618408205,100.93152618408205,12744.675
Ttw,ggF_2jM_MET_200_300,22383.970703125,22383.970703125,51125.69000000001
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
Zinv,ggF_2jM_MET_200_300,32873.19140625,32873.19140625,222869.12
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
ttH,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,0.0,0.0,0.0
Qcd,ggF_2jM_MET_300_400,37.80744171142578,37.80744171142578,1708.8846875
Ttw,ggF_2jM_MET_300_400,3163.885009765625,3163.885009765625,2525.8425
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
Zinv,ggF_2jM_MET_300_400,6250.85595703125,6250.85595703125,11835.0975
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
ttH,ggF_2jM_MET_300_400,0.0,0.0,0.0
data,ggF_2jM_MET_400_600,0.0,0.0,0.0
Qcd,ggF_2jM_MET_400_600,0.09722231328487396,0.09722231328487396,0.011768009662628174
Ttw,ggF_2jM_MET_400_600,613.3089599609375,613.3089599609375,187.6187109375
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
Zinv,ggF_2jM_MET_400_600,1842.2713623046875,1842.2713623046875,2603.4359375
