process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,13446.0,13446.0,13446.0
VBF,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_200_300,13509.8935546875,13509.8935546875,10819.0225
data,ggF_2jM_MET_300_400,2691.0,2691.0,2691.0
VBF,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_300_400,2762.863037109375,2762.863037109375,1397.7785937499998
data,ggF_2jM_MET_400_600,776.0,776.0,776.0
VBF,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_400_600,775.261474609375,775.261474609375,430.4675781250001
data,ggF_2jM_MET_600_2000,74.0,74.0,74.0
VBF,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_600_2000,98.2481918334961,98.2481918334961,48.176875
data,ggF_3j_MET_200_300,14989.0,14989.0,14989.0
VBF,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_200_300,14673.0947265625,14673.0947265625,10482.781249999998
data,ggF_3j_MET_300_400,3570.0,3570.0,3570.0
VBF,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_300_400,3580.839111328125,3580.839111328125,1584.1964062500006
data,ggF_3j_MET_400_600,1052.0,1052.0,1052.0
VBF,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_400_600,1060.0537109375,1060.0537109375,577.415703125
data,ggF_3j_MET_600_2000,141.0,141.0,141.0
VBF,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_600_2000,141.7056884765625,141.7056884765625,61.32453125000001
data,ggF_4j_MET_200_300,6019.0,6019.0,6019.0
VBF,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_200_300,5974.8388671875,5974.8388671875,4606.33
data,ggF_4j_MET_300_400,1767.0,1767.0,1767.0
VBF,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_300_400,1802.787353515625,1802.787353515625,747.746875
data,ggF_4j_MET_400_600,604.0,604.0,604.0
VBF,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_400_600,623.3413696289062,623.3413696289062,264.57208984374995
data,ggF_4j_MET_600_2000,92.0,92.0,92.0
VBF,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_600_2000,95.04236602783205,95.04236602783205,37.29480224609375
data,ggF_5j_MET_200_300,2865.0,2865.0,2865.0
VBF,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_200_300,2868.9990234375,2868.9990234375,1542.27296875
data,ggF_5j_MET_300_400,1019.0,1019.0,1019.0
VBF,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_300_400,1074.3966064453123,1074.3966064453123,612.2993749999998
data,ggF_5j_MET_400_600,454.0,454.0,454.0
VBF,ggF_5j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_5j_MET_400_600,444.9544982910156,444.9544982910156,175.09169921875
ggF,ggF_5j_MET_400_600,0.0003459782747086137,0.0003459782747086137,0.0009581899642944336
data,ggF_5j_MET_600_2000,94.0,94.0,94.0
VBF,ggF_5j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_600_2000,104.04403686523438,104.04403686523438,45.61704101562499
