process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,13446.0,13446.0,13446.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_200_300,12161.3310546875,12161.3310546875,7844650.879999999
data,ggF_2jM_MET_300_400,2691.0,2691.0,2691.0
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_300_400,2358.43505859375,2358.43505859375,91873.52000000002
data,ggF_2jM_MET_400_600,776.0,776.0,776.0
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_400_600,690.473876953125,690.473876953125,7976.484375
data,ggF_2jM_MET_600_2000,74.0,74.0,74.0
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_2jM_MET_600_2000,81.5897216796875,81.5897216796875,599.006875
data,ggF_3j_MET_200_300,14989.0,14989.0,14989.0
VBF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_3j_MET_200_300,13122.244140625,13122.244140625,7660126.72
data,ggF_3j_MET_300_400,3570.0,3570.0,3570.0
VBF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_3j_MET_300_400,3230.451171875,3230.451171875,159945.66
data,ggF_3j_MET_400_600,1052.0,1052.0,1052.0
VBF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_3j_MET_400_600,941.1000366210938,941.1000366210938,15776.95625
data,ggF_3j_MET_600_2000,141.0,141.0,141.0
VBF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_3j_MET_600_2000,121.58821105957031,121.58821105957031,1425.9281249999995
data,ggF_4j_MET_200_300,6019.0,6019.0,6019.0
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_4j_MET_200_300,5694.3828125,5694.3828125,1324946.32
data,ggF_4j_MET_300_400,1767.0,1767.0,1767.0
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ggF_4j_MET_300_400,1697.11865234375,1697.11865234375,35955.377499999995
data,ggF_4j_MET_400_600,604.0,604.0,604.0
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
