process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,17324.0,17324.0,17324.0
VBF,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_2jM_MET_200_300,17260.421875,17260.421875,13401.477500000005
ggF,ggF_2jM_MET_200_300,0.007943391799926758,0.007943391799926758,0.15344215393066407
data,ggF_2jM_MET_300_400,3566.0,3566.0,3566.0
VBF,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_300_400,3494.113525390625,3494.113525390625,2271.6717187499994
data,ggF_2jM_MET_400_600,959.0,959.0,959.0
VBF,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_400_600,959.737060546875,959.737060546875,626.0043750000002
data,ggF_2jM_MET_600_2000,145.0,145.0,145.0
VBF,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_600_2000,120.75949096679688,120.75949096679688,73.18651367187498
data,ggF_3j_MET_200_300,19203.0,19203.0,19203.0
VBF,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_3j_MET_200_300,19519.1328125,19519.1328125,15162.225
ggF,ggF_3j_MET_200_300,0.003693917766213417,0.003693917766213417,0.0331682300567627
data,ggF_3j_MET_300_400,4592.0,4592.0,4592.0
VBF,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_300_400,4581.0810546875,4581.0810546875,3094.4021874999994
data,ggF_3j_MET_400_600,1324.0,1324.0,1324.0
VBF,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_400_600,1315.932861328125,1315.932861328125,857.2125000000002
data,ggF_3j_MET_600_2000,167.0,167.0,167.0
VBF,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_600_2000,166.30018615722656,166.30018615722656,85.927763671875
data,ggF_4j_MET_200_300,7918.0,7918.0,7918.0
VBF,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ewk,ggF_4j_MET_200_300,7962.27978515625,7962.27978515625,6644.698749999999
VH,ggF_4j_MET_200_300,0.001553511363454163,0.001553511363454163,0.0063541120290756216
ggF,ggF_4j_MET_200_300,0.0003732960612978786,0.0003732960612978786,0.0013048849999904633
data,ggF_4j_MET_300_400,2403.0,2403.0,2403.0
VBF,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_300_400,2367.21630859375,2367.21630859375,1356.4839062500002
data,ggF_4j_MET_400_600,809.0,809.0,809.0
VBF,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_400_600,789.7052612304688,789.7052612304688,390.19835937500005
data,ggF_4j_MET_600_2000,122.0,122.0,122.0
VBF,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_600_2000,118.95999908447266,118.95999908447266,57.69201171875
data,ggF_5j_MET_200_300,3799.0,3799.0,3799.0
VBF,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_200_300,3795.0498046875,3795.0498046875,2569.96796875
data,ggF_5j_MET_300_400,1418.0,1418.0,1418.0
VBF,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_300_400,1362.5870361328125,1362.5870361328125,983.6853125
data,ggF_5j_MET_400_600,583.0,583.0,583.0
VBF,ggF_5j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_400_600,592.0472412109375,592.0472412109375,313.1232421875
data,ggF_5j_MET_600_2000,143.0,143.0,143.0
VBF,ggF_5j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_600_2000,132.95274353027344,132.95274353027344,75.2638623046875
