process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,2436.0,2436.0,2436.0
VBF,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_200_300,2400.8212890625,2400.8212890625,769.7009375
data,ggF_2jM_MET_300_400,595.0,595.0,595.0
VBF,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_300_400,494.3116149902344,494.3116149902344,76.99513671875
data,ggF_2jM_MET_400_600,131.0,131.0,131.0
VBF,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_400_600,134.00602722167972,134.00602722167972,15.8189697265625
data,ggF_2jM_MET_600_2000,10.0,10.0,10.0
VBF,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_600_2000,11.585174560546875,11.585174560546875,0.7216823577880859
data,ggF_3j_MET_200_300,2611.0,2611.0,2611.0
VBF,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_200_300,2651.0771484375,2651.0771484375,1005.879375
data,ggF_3j_MET_300_400,716.0,716.0,716.0
VBF,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_300_400,690.8726806640625,690.8726806640625,105.77298828124998
data,ggF_3j_MET_400_600,185.0,185.0,185.0
VBF,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_400_600,181.96437072753903,181.96437072753903,23.54017578125
data,ggF_3j_MET_600_2000,16.0,16.0,16.0
VBF,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_600_2000,18.930524826049805,18.930524826049805,1.3397396850585934
data,ggF_4j_MET_200_300,969.0,969.0,969.0
VBF,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_200_300,989.8433227539062,989.8433227539062,240.08267578125
data,ggF_4j_MET_300_400,321.0,321.0,321.0
VBF,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_300_400,336.34466552734375,336.34466552734375,43.052568359375
data,ggF_4j_MET_400_600,101.0,101.0,101.0
VBF,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
