process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,3570.0,3570.0,3570.0
VBF,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_200_300,3465.0458984375,3465.0458984375,1555.5962499999996
data,ggF_2jM_MET_300_400,785.0,785.0,785.0
VBF,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_300_400,733.34521484375,733.34521484375,126.57821289062498
data,ggF_2jM_MET_400_600,199.0,199.0,199.0
VBF,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_400_600,197.7113342285156,197.7113342285156,28.4949658203125
data,ggF_2jM_MET_600_2000,17.0,17.0,17.0
VBF,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_600_2000,17.092418670654293,17.092418670654293,1.3759124755859378
data,ggF_3j_MET_200_300,3692.0,3692.0,3692.0
VBF,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_200_300,3810.19189453125,3810.19189453125,1671.8385937499993
data,ggF_3j_MET_300_400,1040.0,1040.0,1040.0
VBF,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_300_400,1006.64013671875,1006.64013671875,206.45845703125
data,ggF_3j_MET_400_600,275.0,275.0,275.0
VBF,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_400_600,264.7921142578125,264.7921142578125,41.79572265625001
data,ggF_3j_MET_600_2000,23.0,23.0,23.0
VBF,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_3j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_3j_MET_600_2000,25.369638442993164,25.369638442993164,1.9523313903808597
data,ggF_4j_MET_200_300,1434.0,1434.0,1434.0
VBF,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_200_300,1421.2479248046875,1421.2479248046875,381.324453125
data,ggF_4j_MET_300_400,498.0,498.0,498.0
VBF,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_300_400,497.86468505859375,497.86468505859375,67.9479931640625
data,ggF_4j_MET_400_600,177.0,177.0,177.0
VBF,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_400_600,171.98785400390625,171.98785400390625,27.50203857421875
data,ggF_4j_MET_600_2000,17.0,17.0,17.0
VBF,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_4j_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_4j_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_4j_MET_600_2000,19.121204376220703,19.121204376220703,1.5541470336914065
data,ggF_5j_MET_200_300,565.0,565.0,565.0
VBF,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_200_300,603.0377197265625,603.0377197265625,98.762265625
data,ggF_5j_MET_300_400,265.0,265.0,265.0
VBF,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_5j_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_5j_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_5j_MET_300_400,254.61627197265625,254.61627197265625,33.60556640625001
data,ggF_5j_MET_400_600,115.0,115.0,115.0
VBF,ggF_5j_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
