process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1t0b_MET_300_400,0.17333383858203888,0.17333383858203888,0.03776459693908691
Ttw,ttH_1t0b_MET_300_400,50.51825714111328,50.51825714111328,34.11094970703125
VH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_300_400,7.441648006439209,7.441648006439209,0.28924182891845696
ggF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
ttH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
data,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1t0b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_1t0b_MET_400_2000,35.050525665283196,35.050525665283196,12.477535400390625
VH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_400_2000,12.747729301452635,12.747729301452635,1.0018549346923826
ggF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
data,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_200_300,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ttw,ttH_1t1b_MET_200_300,92.48714447021484,92.48714447021484,91.452001953125
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_200_300,2.4231653213500977,2.4231653213500977,0.057550477981567386
ttH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
data,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_300_400,0.6735705137252808,0.6735705137252808,0.5264993667602539
Ttw,ttH_1t1b_MET_300_400,64.58598327636719,64.58598327636719,41.67648437500001
VH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_300_400,1.269588828086853,1.269588828086853,0.02210043668746948
ggF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
ttH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
data,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_400_600,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Ttw,ttH_1t1b_MET_400_600,30.54566192626953,30.54566192626953,14.978214111328127
VH,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_400_600,1.7451603412628174,1.7451603412628174,0.038271191120147714
ggF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
ttH,ttH_1t1b_MET_400_600,0.0,0.0,0.0
data,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_600_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Ttw,ttH_1t1b_MET_600_2000,3.121968030929565,3.121968030929565,0.8959270477294923
VH,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Zinv,ttH_1t1b_MET_600_2000,0.9091150164604188,0.9091150164604188,0.025986750125885014
ggF,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
ttH,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
data,ttH_1w1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_200_300,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ttH_1w1b_MET_200_300,524.9220581054689,524.9220581054689,489.85464843749986
VBF,ttH_1w1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1w1b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1w1b_MET_200_300,20.042783737182614,20.042783737182614,7.372934570312498
ggF,ttH_1w1b_MET_200_300,0.0,0.0,0.0
ttH,ttH_1w1b_MET_200_300,0.0,0.0,0.0
data,ttH_1w1b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1w1b_MET_300_400,0.0,0.0,0.0
Ttw,ttH_1w1b_MET_300_400,132.81163024902344,132.81163024902344,67.2331884765625
VH,ttH_1w1b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1w1b_MET_300_400,10.596253395080566,10.596253395080566,1.951675720214844
ggF,ttH_1w1b_MET_300_400,0.0,0.0,0.0
ttH,ttH_1w1b_MET_300_400,0.0,0.0,0.0
data,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_1w1b_MET_400_2000,18.971609115600586,18.971609115600586,5.814553222656251
VH,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_1w1b_MET_400_2000,6.075108051300049,6.075108051300049,0.910342788696289
ggF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
data,ttH_1w2b_MET_200_300,0.0,0.0,0.0
VBF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1w2b_MET_200_300,2.7158119678497314,2.7158119678497314,9.429127807617183
Ttw,ttH_1w2b_MET_200_300,298.1040954589844,298.1040954589844,257.31560546875005
VH,ttH_1w2b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1w2b_MET_200_300,2.724565029144287,2.724565029144287,0.14543618202209474
ggF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
ttH,ttH_1w2b_MET_200_300,0.0,0.0,0.0
data,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1w2b_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Ttw,ttH_1w2b_MET_300_400,59.26742553710938,59.26742553710938,25.714819335937506
VH,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_1w2b_MET_300_400,1.0129021406173706,1.0129021406173706,0.026421644687652592
ggF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
ttH,ttH_1w2b_MET_300_400,0.0,0.0,0.0
data,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1w2b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_1w2b_MET_400_2000,10.831694602966307,10.831694602966307,3.3223477172851563
VH,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_1w2b_MET_400_2000,0.8941714763641357,0.8941714763641357,0.0286994218826294
ggF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
data,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Qcd,ttH_2Boosted_MET_200_300,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Ttw,ttH_2Boosted_MET_200_300,6.951953887939452,6.951953887939452,7.823763427734374
VH,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Zinv,ttH_2Boosted_MET_200_300,0.8434581160545349,0.8434581160545349,0.04007794380187989
ttH,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
data,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
Qcd,ttH_2Boosted_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
Ttw,ttH_2Boosted_MET_300_400,5.480653762817383,5.480653762817383,4.9354614257812495
VH,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
Zinv,ttH_2Boosted_MET_300_400,0.3577075004577637,0.3577075004577637,0.005096591711044312
ggF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
ttH,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
data,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_2Boosted_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_2Boosted_MET_400_2000,0.4803684949874878,0.4803684949874878,0.1625377655029297
VH,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_2Boosted_MET_400_2000,0.25922560691833496,0.25922560691833496,0.007219846844673155
ggF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
ttH,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
data,ttH_5j1b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_5j1b_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ttH_5j1b_MET_300_400,374.6686706542969,374.6686706542969,200.95494140625
VBF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_5j1b_MET_300_400,312.68511962890625,312.68511962890625,1112.7800781250003
ggF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
ttH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
data,ttH_5j1b_MET_400_600,0.0,0.0,0.0
Qcd,ttH_5j1b_MET_400_600,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,ttH_5j1b_MET_400_600,80.11837005615234,80.11837005615234,31.261450195312506
VBF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
VH,ttH_5j1b_MET_400_600,0.0,0.0,0.0
Zinv,ttH_5j1b_MET_400_600,84.6921615600586,84.6921615600586,445.4472265625
ggF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
ttH,ttH_5j1b_MET_400_600,0.0,0.0,0.0
data,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
Qcd,ttH_5j1b_MET_600_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
Ttw,ttH_5j1b_MET_600_2000,3.733265399932861,3.733265399932861,0.7355360412597656
VH,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
Zinv,ttH_5j1b_MET_600_2000,20.42877769470215,20.42877769470215,106.870126953125
ggF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
ttH,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
data,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_5j2b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_5j2b_MET_400_2000,12.93014907836914,12.93014907836914,3.5719030761718757
VH,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_5j2b_MET_400_2000,22.51988410949707,22.51988410949707,78.8594580078125
ggF,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
data,ttH_6j1b_MET_300_400,0.0,0.0,0.0
VBF,ttH_6j1b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_6j1b_MET_300_400,4.2880234718322745,4.2880234718322745,21.96063232421875
Ttw,ttH_6j1b_MET_300_400,314.6777648925781,314.6777648925781,162.85688476562504
VH,ttH_6j1b_MET_300_400,0.0,0.0,0.0
Zinv,ttH_6j1b_MET_300_400,160.7211151123047,160.7211151123047,607.6258984375
ggF,ttH_6j1b_MET_300_400,0.0,0.0,0.0
ttH,ttH_6j1b_MET_300_400,0.0,0.0,0.0
data,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_6j2b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
Ttw,ttH_6j2b_MET_400_2000,15.552922248840332,15.552922248840332,4.675953674316406
VH,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
Zinv,ttH_6j2b_MET_400_2000,6.418487071990968,6.418487071990968,18.188876953125
ggF,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
ttH,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
data,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1t0b_MET_200_300,0.6184038519859314,0.6184038519859314,0.4863720321655273
Ttw,ttH_1t0b_MET_200_300,61.90269088745117,61.90269088745117,69.51187011718748
VBF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Zinv,ttH_1t0b_MET_200_300,9.10766315460205,9.10766315460205,0.3672592544555664
ggF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
ttH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
data,ttH_5j1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_5j1b_MET_200_300,12.683897018432615,12.683897018432615,193.98708984375003
Ttw,ttH_5j1b_MET_200_300,2260.127197265625,2260.127197265625,2094.983125
