process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Qcd,ttH_1t0b_MET_300_400,0.1733109951019287,0.1733109951019287,0.038291311264038085
Ttw,ttH_1t0b_MET_300_400,50.52047348022461,50.52047348022461,43.3181005859375
VH,ttH_1t0b_MET_300_400,0.018131695687770844,0.018131695687770844,0.8267956542968751
Zinv,ttH_1t0b_MET_300_400,7.438507080078125,7.438507080078125,0.2300395011901855
ggF,ttH_1t0b_MET_300_400,0.044221647083759315,0.044221647083759315,4.813854064941408
ttH,ttH_1t0b_MET_300_400,0.7024873495101929,0.7024873495101929,1196.5722656249998
data,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1t0b_MET_400_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1t0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1t0b_MET_400_2000,35.04813766479492,35.04813766479492,14.345524902343747
VH,ttH_1t0b_MET_400_2000,0.09974092990159987,0.09974092990159987,25.97050048828125
Zinv,ttH_1t0b_MET_400_2000,12.742180824279785,12.742180824279785,0.9268994140625
ggF,ttH_1t0b_MET_400_2000,0.21988463401794436,0.21988463401794436,122.553505859375
ttH,ttH_1t0b_MET_400_2000,0.9558241367340088,0.9558241367340088,2224.20125
data,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_200_300,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1t1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
ggF,ttH_1t1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ttw,ttH_1t1b_MET_200_300,92.49072265625,92.49072265625,100.077666015625
VH,ttH_1t1b_MET_200_300,0.007836857810616493,0.007836857810616493,0.1621141815185547
Zinv,ttH_1t1b_MET_200_300,2.4223427772521973,2.4223427772521973,0.04383138179779053
ttH,ttH_1t1b_MET_200_300,1.2000246047973633,1.2000246047973633,3493.8696875
data,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Qcd,ttH_1t1b_MET_300_400,0.6734817028045654,0.6734817028045654,0.55738525390625
Ttw,ttH_1t1b_MET_300_400,64.59120941162111,64.59120941162111,46.69703613281251
VH,ttH_1t1b_MET_300_400,0.01203798409551382,0.01203798409551382,0.3685091400146485
Zinv,ttH_1t1b_MET_300_400,1.2689833641052246,1.2689833641052246,0.01621155142784119
ggF,ttH_1t1b_MET_300_400,0.006130496971309185,0.006130496971309185,0.0966714096069336
ttH,ttH_1t1b_MET_300_400,1.2810195684432983,1.2810195684432983,3992.21125
data,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_400_600,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1t1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1t1b_MET_400_600,30.54965209960937,30.54965209960937,12.507642822265625
VH,ttH_1t1b_MET_400_600,0.006820824462920427,0.006820824462920427,0.12410930633544925
Zinv,ttH_1t1b_MET_400_600,1.7442792654037476,1.7442792654037476,0.028658847808837887
ggF,ttH_1t1b_MET_400_600,0.02742230892181396,0.02742230892181396,1.888305969238281
ttH,ttH_1t1b_MET_400_600,1.36844003200531,1.36844003200531,4507.067812500001
data,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_600_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1t1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1t1b_MET_600_2000,3.121443510055542,3.121443510055542,0.7972576904296875
VH,ttH_1t1b_MET_600_2000,0.008993246592581272,0.008993246592581272,0.210791015625
Zinv,ttH_1t1b_MET_600_2000,0.9086120724678041,0.9086120724678041,0.01837717056274414
ggF,ttH_1t1b_MET_600_2000,0.017151029780507088,0.017151029780507088,0.7615121459960938
ttH,ttH_1t1b_MET_600_2000,0.3076336979866028,0.3076336979866028,228.54083984375
data,ttH_1w1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_200_300,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
Ttw,ttH_1w1b_MET_200_300,524.9110107421875,524.9110107421875,497.3385546875
VBF,ttH_1w1b_MET_200_300,0.035129223018884666,0.035129223018884666,3.704491271972657
VH,ttH_1w1b_MET_200_300,0.372389167547226,0.372389167547226,360.70820312500007
Zinv,ttH_1w1b_MET_200_300,20.031436920166016,20.031436920166016,5.760738525390625
ggF,ttH_1w1b_MET_200_300,0.13129881024360654,0.13129881024360654,43.656455078125
ttH,ttH_1w1b_MET_200_300,3.976662635803223,3.976662635803223,39320.7
data,ttH_1w1b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_300_400,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1w1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1w1b_MET_300_400,132.80435180664062,132.80435180664062,67.0254638671875
VH,ttH_1w1b_MET_300_400,0.2506159245967865,0.2506159245967865,162.24650390625004
Zinv,ttH_1w1b_MET_300_400,10.590484619140623,10.590484619140623,1.6220404052734374
ggF,ttH_1w1b_MET_300_400,0.1155078262090683,0.1155078262090683,34.11164794921874
ttH,ttH_1w1b_MET_300_400,1.8701529502868648,1.8701529502868648,8713.1325
data,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_400_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1w1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1w1b_MET_400_2000,18.969402313232425,18.969402313232425,6.275762329101562
VH,ttH_1w1b_MET_400_2000,0.17912237346172333,0.17912237346172333,83.09001953125
Zinv,ttH_1w1b_MET_400_2000,6.072281837463379,6.072281837463379,0.798831329345703
ggF,ttH_1w1b_MET_400_2000,0.08318893611431122,0.08318893611431122,17.6701611328125
ttH,ttH_1w1b_MET_400_2000,0.7630933523178101,0.7630933523178101,1424.5929687499995
data,ttH_1w2b_MET_200_300,0.0,0.0,0.0
VBF,ttH_1w2b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Qcd,ttH_1w2b_MET_200_300,2.7154541015625,2.7154541015625,9.879369506835936
Ttw,ttH_1w2b_MET_200_300,298.09478759765625,298.09478759765625,268.51146484375005
VH,ttH_1w2b_MET_200_300,0.07237134873867035,0.07237134873867035,13.28419189453125
Zinv,ttH_1w2b_MET_200_300,2.722890853881836,2.722890853881836,0.11187521934509276
ggF,ttH_1w2b_MET_200_300,0.015121807344257832,0.015121807344257832,0.6011754989624023
ttH,ttH_1w2b_MET_200_300,2.5200514793396,2.5200514793396,15772.433750000002
data,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Qcd,ttH_1w2b_MET_300_400,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1w2b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1w2b_MET_300_400,59.26315307617188,59.26315307617188,32.989052734375
VH,ttH_1w2b_MET_300_400,0.016940515488386154,0.016940515488386154,0.7506760406494141
Zinv,ttH_1w2b_MET_300_400,1.0122849941253662,1.0122849941253662,0.01977888226509094
ggF,ttH_1w2b_MET_300_400,0.01022073719650507,0.01022073719650507,0.2627251243591309
ttH,ttH_1w2b_MET_300_400,1.2146475315093994,1.2146475315093994,3649.895
data,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1w2b_MET_400_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_1w2b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
Ttw,ttH_1w2b_MET_400_2000,10.82796859741211,10.82796859741211,3.7233251953125
VH,ttH_1w2b_MET_400_2000,0.03160286322236061,0.03160286322236061,2.4663796997070317
Zinv,ttH_1w2b_MET_400_2000,0.8936116099357605,0.8936116099357605,0.02237947702407837
ggF,ttH_1w2b_MET_400_2000,0.003707240801304578,0.003707240801304578,0.04309666156768799
ttH,ttH_1w2b_MET_400_2000,0.4597684741020202,0.4597684741020202,517.9903125
data,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Qcd,ttH_2Boosted_MET_200_300,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
VBF,ttH_2Boosted_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
