process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
Qcd,ttH_1t0b_MET_300_400,0.1732180416584015,0.1732180416584015,0.048291654586792
Ttw,ttH_1t0b_MET_300_400,42.238319396972656,42.238319396972656,4.6156939697265615
VH,ttH_1t0b_MET_300_400,0.07551416009664537,0.07551416009664537,9.74362250417471e-05
Zinv,ttH_1t0b_MET_300_400,7.60387372970581,7.60387372970581,0.9604695892333984
ggF,ttH_1t0b_MET_300_400,0.18097035586833954,0.18097035586833954,0.0002864260226488113
ttH,ttH_1t0b_MET_300_400,2.8166725635528564,2.8166725635528564,0.0817051887512207
data,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Qcd,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
VBF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
Ttw,ttH_1t0b_MET_400_2000,29.15815353393555,29.15815353393555,3.136217651367187
VH,ttH_1t0b_MET_400_2000,0.3923726081848145,0.3923726081848145,0.0012496314197778704
Zinv,ttH_1t0b_MET_400_2000,11.58431339263916,11.58431339263916,7.153162231445313
ggF,ttH_1t0b_MET_400_2000,0.8769506216049194,0.8769506216049194,0.004598064720630646
ttH,ttH_1t0b_MET_400_2000,3.815558910369873,3.815558910369873,0.1436456871032715
data,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ttw,ttH_1t1b_MET_200_300,84.81507873535156,84.81507873535156,50.553759765625
VH,ttH_1t1b_MET_200_300,0.02837945707142353,0.02837945707142353,3.1807636842131624e-05
Zinv,ttH_1t1b_MET_200_300,2.4648616313934326,2.4648616313934326,0.2048027992248535
ttH,ttH_1t1b_MET_200_300,4.733850955963135,4.733850955963135,0.3291687393188477
data,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VBF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
Qcd,ttH_1t1b_MET_300_400,0.6731204986572266,0.6731204986572266,0.7400004577636717
Ttw,ttH_1t1b_MET_300_400,63.80170440673828,63.80170440673828,22.74680175781249
VH,ttH_1t1b_MET_300_400,0.04749489203095436,0.04749489203095436,6.123205181211233e-05
Zinv,ttH_1t1b_MET_300_400,1.2635204792022705,1.2635204792022705,0.04707591533660889
ggF,ttH_1t1b_MET_300_400,0.02606867253780365,0.02606867253780365,2.1191649138927453e-05
ttH,ttH_1t1b_MET_300_400,5.045203685760498,5.045203685760498,0.3487264251708984
data,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
VBF,ttH_1t1b_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
Ttw,ttH_1t1b_MET_400_600,33.533740997314446,33.533740997314446,6.318098754882812
VH,ttH_1t1b_MET_400_600,0.02728237211704254,0.02728237211704254,3.768486436456442e-05
Zinv,ttH_1t1b_MET_400_600,1.618734359741211,1.618734359741211,0.0782441473007202
ggF,ttH_1t1b_MET_400_600,0.10779838263988496,0.10779838263988496,0.00015541555359959602
ttH,ttH_1t1b_MET_400_600,5.38642168045044,5.38642168045044,0.4000158309936523
data,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Qcd,ttH_1t1b_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
VBF,ttH_1t1b_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
Ttw,ttH_1t1b_MET_600_2000,3.5630125999450684,3.5630125999450684,0.1623054885864258
VH,ttH_1t1b_MET_600_2000,0.035507652908563614,0.035507652908563614,3.241035621613265e-05
Zinv,ttH_1t1b_MET_600_2000,0.7406560778617859,0.7406560778617859,0.1940139961242676
ggF,ttH_1t1b_MET_600_2000,0.06485745310783386,0.06485745310783386,9.181558154523371e-05
ttH,ttH_1t1b_MET_600_2000,1.1944596767425537,1.1944596767425537,0.0211871075630188
data,ttH_1w1b_MET_200_300,0.0,0.0,0.0
Qcd,ttH_1w1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
Ttw,ttH_1w1b_MET_200_300,569.310546875,569.310546875,3373.498125
VBF,ttH_1w1b_MET_200_300,0.12359455972909927,0.12359455972909927,0.0004555915296077729
VH,ttH_1w1b_MET_200_300,1.4338171482086182,1.4338171482086182,0.05356321811676025
Zinv,ttH_1w1b_MET_200_300,21.805173873901367,21.805173873901367,75.08043945312498
ggF,ttH_1w1b_MET_200_300,0.5080937743186951,0.5080937743186951,0.004357510507106781
ttH,ttH_1w1b_MET_200_300,15.820091247558596,15.820091247558596,4.4704095458984385
data,ttH_1w1b_MET_300_400,0.0,0.0,0.0
