process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,26.0,26.0,26.0
VBF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_200_300,22.85222053527832,22.85222053527832,9.162871704101562
data,ttH_1t0b_MET_300_400,27.0,27.0,27.0
VBF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
VH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_300_400,29.862285614013672,29.862285614013672,11.8031640625
data,ttH_1t0b_MET_400_2000,32.0,32.0,32.0
VBF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_400_2000,42.10598754882813,42.10598754882813,17.699559326171876
data,ttH_1t1b_MET_200_300,32.0,32.0,32.0
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_200_300,34.369762420654304,34.369762420654304,12.58669921875
data,ttH_1t1b_MET_300_400,44.0,44.0,44.0
VBF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_300_400,41.79921340942383,41.79921340942383,16.460650634765624
data,ttH_1t1b_MET_400_600,28.0,28.0,28.0
VBF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
VH,ttH_1t1b_MET_400_600,0.0,0.0,0.0
ggF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_400_600,32.08605194091797,32.08605194091797,15.430346679687498
data,ttH_1t1b_MET_600_2000,6.0,6.0,6.0
VBF,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
