process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,26.0,26.0,26.0
VBF,ttH_1t0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_200_300,22.85136795043945,22.85136795043945,9.256309814453122
data,ttH_1t0b_MET_300_400,27.0,27.0,27.0
VBF,ttH_1t0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_300_400,29.86273765563965,29.86273765563965,15.808258056640625
data,ttH_1t0b_MET_400_2000,32.0,32.0,32.0
VBF,ttH_1t0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_400_2000,42.10304641723633,42.10304641723633,20.50755859375
data,ttH_1t1b_MET_200_300,32.0,32.0,32.0
VBF,ttH_1t1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_200_300,34.371536254882805,34.371536254882805,13.53292236328125
data,ttH_1t1b_MET_300_400,44.0,44.0,44.0
VBF,ttH_1t1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_300_400,41.799503326416016,41.799503326416016,19.301518554687505
data,ttH_1t1b_MET_400_600,28.0,28.0,28.0
VBF,ttH_1t1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_400_600,32.086788177490234,32.086788177490234,13.9908203125
data,ttH_1t1b_MET_600_2000,6.0,6.0,6.0
VBF,ttH_1t1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_600_2000,5.095776081085205,5.095776081085205,2.0652091979980467
data,ttH_1w1b_MET_200_300,279.0,279.0,279.0
