process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,31.0,31.0,31.0
VBF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t0b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t0b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_200_300,34.14978790283203,34.14978790283203,19.744824218750004
data,ttH_1t0b_MET_300_400,45.0,45.0,45.0
VBF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
VH,ttH_1t0b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1t0b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_300_400,42.1431999206543,42.1431999206543,23.331215820312504
data,ttH_1t0b_MET_400_2000,61.0,61.0,61.0
VBF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1t0b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1t0b_MET_400_2000,50.90650177001953,50.90650177001953,26.369792480468753
data,ttH_1t1b_MET_200_300,52.0,52.0,52.0
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_200_300,49.63218688964844,49.63218688964844,25.18827880859375
data,ttH_1t1b_MET_300_400,55.0,55.0,55.0
VBF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
VH,ttH_1t1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1t1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_300_400,57.20330810546875,57.20330810546875,30.93911621093749
data,ttH_1t1b_MET_400_600,47.0,47.0,47.0
VBF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
VH,ttH_1t1b_MET_400_600,0.0,0.0,0.0
ggF,ttH_1t1b_MET_400_600,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_400_600,42.91981506347656,42.91981506347656,28.101738281250004
data,ttH_1t1b_MET_600_2000,6.0,6.0,6.0
VBF,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
VH,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
ggF,ttH_1t1b_MET_600_2000,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_600_2000,6.904450416564941,6.904450416564941,4.258016967773438
data,ttH_1w1b_MET_200_300,446.0,446.0,446.0
VBF,ttH_1w1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1w1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1w1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1w1b_MET_200_300,429.14111328125,429.14111328125,300.63769531249994
data,ttH_1w1b_MET_300_400,160.0,160.0,160.0
VBF,ttH_1w1b_MET_300_400,0.0,0.0,0.0
VH,ttH_1w1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1w1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1w1b_MET_300_400,169.07949829101562,169.07949829101562,99.76505859375
data,ttH_1w1b_MET_400_2000,37.0,37.0,37.0
VBF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1w1b_MET_400_2000,37.598548889160156,37.598548889160156,22.106328125
data,ttH_1w2b_MET_200_300,261.0,261.0,261.0
VBF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
VH,ttH_1w2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_200_300,255.2109375,255.2109375,176.84322265625005
data,ttH_1w2b_MET_300_400,91.0,91.0,91.0
VBF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
VH,ttH_1w2b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_300_400,80.18299865722656,80.18299865722656,46.30953125
data,ttH_1w2b_MET_400_2000,12.0,12.0,12.0
VBF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_400_2000,19.761028289794922,19.761028289794922,11.1667724609375
data,ttH_2Boosted_MET_200_300,1.0,1.0,1.0
VBF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
VH,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_200_300,3.707207918167114,3.707207918167114,2.2651089477539057
data,ttH_2Boosted_MET_300_400,5.0,5.0,5.0
VBF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
VH,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_300_400,3.696049928665161,3.696049928665161,2.267793426513672
data,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
VBF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
VH,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_400_2000,0.5937074422836304,0.5937074422836304,0.24942285537719724
data,ttH_5j1b_MET_200_300,2061.0,2061.0,2061.0
VBF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_200_300,2092.08251953125,2092.08251953125,1261.6587500000005
VH,ttH_5j1b_MET_200_300,0.0,0.0,0.0
data,ttH_5j1b_MET_300_400,491.0,491.0,491.0
VBF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_300_400,502.49835205078125,502.49835205078125,298.0177734375
data,ttH_5j1b_MET_400_600,137.0,137.0,137.0
VBF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
VH,ttH_5j1b_MET_400_600,0.0,0.0,0.0
ggF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_400_600,131.55474853515622,131.55474853515622,73.53424316406247
data,ttH_5j1b_MET_600_2000,15.0,15.0,15.0
VBF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
VH,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
ggF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_600_2000,11.007758140563963,11.007758140563963,6.2996844482421865
data,ttH_5j2b_MET_200_300,782.0,782.0,782.0
VBF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
VH,ttH_5j2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_200_300,740.4248657226562,740.4248657226562,436.31066406250005
data,ttH_5j2b_MET_300_400,137.0,137.0,137.0
VBF,ttH_5j2b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j2b_MET_300_400,0.0,0.0,0.0
ggF,ttH_5j2b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_300_400,136.78724670410156,136.78724670410156,80.4716943359375
data,ttH_5j2b_MET_400_2000,24.0,24.0,24.0
VBF,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
VH,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_400_2000,30.775617599487305,30.775617599487305,19.590235595703124
data,ttH_6j1b_MET_200_300,1080.0,1080.0,1080.0
VBF,ttH_6j1b_MET_200_300,0.0,0.0,0.0
VH,ttH_6j1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_6j1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_6j1b_MET_200_300,1060.3763427734377,1060.3763427734377,673.7853906250001
data,ttH_6j1b_MET_300_400,365.0,365.0,365.0
VBF,ttH_6j1b_MET_300_400,0.0,0.0,0.0
VH,ttH_6j1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_6j1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_6j1b_MET_300_400,349.4954528808594,349.4954528808594,189.81021484375
data,ttH_6j1b_MET_400_2000,158.0,158.0,158.0
VBF,ttH_6j1b_MET_400_2000,0.0,0.0,0.0
VH,ttH_6j1b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_6j1b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_6j1b_MET_400_2000,146.34213256835938,146.34213256835938,87.96473632812501
data,ttH_6j2b_MET_200_300,433.0,433.0,433.0
VBF,ttH_6j2b_MET_200_300,0.0,0.0,0.0
VH,ttH_6j2b_MET_200_300,0.0,0.0,0.0
