process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,31.0,31.0,31.0
VBF,ttH_1t0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_200_300,34.15134048461914,34.15134048461914,20.880368652343744
data,ttH_1t0b_MET_300_400,45.0,45.0,45.0
VBF,ttH_1t0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_300_400,42.1434211730957,42.1434211730957,30.19058105468749
data,ttH_1t0b_MET_400_2000,61.0,61.0,61.0
VBF,ttH_1t0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t0b_MET_400_2000,50.90889358520508,50.90889358520508,28.71815673828125
data,ttH_1t1b_MET_200_300,52.0,52.0,52.0
VBF,ttH_1t1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_200_300,49.63279724121094,49.63279724121094,29.46517333984375
data,ttH_1t1b_MET_300_400,55.0,55.0,55.0
VBF,ttH_1t1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_1t1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_1t1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_1t1b_MET_300_400,57.207679748535156,57.207679748535156,35.7693310546875
