process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,31.0,31.0,31.0
VBF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ttH_1t0b_MET_200_300,31.716447830200195,31.716447830200195,7.6290655517578125
data,ttH_1t0b_MET_300_400,45.0,45.0,45.0
VBF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ttH_1t0b_MET_300_400,34.9263916015625,34.9263916015625,4.736408386230469
data,ttH_1t0b_MET_400_2000,61.0,61.0,61.0
VBF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ttH_1t0b_MET_400_2000,42.91539001464844,42.91539001464844,6.307802734374999
data,ttH_1t1b_MET_200_300,52.0,52.0,52.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,ttH_1t1b_MET_200_300,45.37701797485352,45.37701797485352,16.351479492187494
data,ttH_1t1b_MET_300_400,55.0,55.0,55.0
VBF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
