process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_5j1b_MET_200_300,60.0,60.0,60.0
VBF,ttH_5j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_200_300,64.52861785888672,64.52861785888672,22.89703369140625
data,ttH_5j1b_MET_300_400,39.0,39.0,39.0
VBF,ttH_5j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_300_400,34.507823944091804,34.507823944091804,12.77607666015625
data,ttH_5j1b_MET_400_600,10.0,10.0,10.0
VBF,ttH_5j1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_400_600,7.851716995239258,7.851716995239258,3.896794738769531
data,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
VBF,ttH_5j1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_600_2000,1.2210148572921753,1.2210148572921753,0.4679963684082032
data,ttH_5j2b_MET_200_300,22.0,22.0,22.0
VBF,ttH_5j2b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j2b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
