process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_5j1b_MET_200_300,109.0,109.0,109.0
VBF,ttH_5j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_200_300,104.46390533447266,104.46390533447266,57.9584423828125
data,ttH_5j1b_MET_300_400,48.0,48.0,48.0
VBF,ttH_5j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_300_400,52.49986267089844,52.49986267089844,30.341249999999995
data,ttH_5j1b_MET_400_600,9.0,9.0,9.0
VBF,ttH_5j1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_400_600,11.147003173828123,11.147003173828123,7.712258911132811
data,ttH_5j1b_MET_600_2000,3.0,3.0,3.0
VBF,ttH_5j1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j1b_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j1b_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j1b_MET_600_2000,1.7790795564651491,1.7790795564651491,1.0686593627929688
data,ttH_5j2b_MET_200_300,39.0,39.0,39.0
VBF,ttH_5j2b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j2b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j2b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j2b_MET_200_300,36.94927597045898,36.94927597045898,20.64225830078125
data,ttH_5j2b_MET_300_400,5.0,5.0,5.0
VBF,ttH_5j2b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ttH_5j2b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ttH_5j2b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ttH_5j2b_MET_300_400,8.397563934326174,8.397563934326174,4.548943786621094
data,ttH_5j2b_MET_400_2000,3.0,3.0,3.0
