dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",1,0.00047076997840747592,2.2162437256977535e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",2,0.0010608234258168564,5.8257642677935615e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",43,0.012610216189754327,9.3056817374751658e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",800,0.20409709388136443,0.00015001660160985573
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",1554,0.43345342442343848,0.00029779569861512008
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",42,0.011688358950061515,7.8797845789506091e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",4,0.0017745239999422506,8.4173854868048487e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",2,0.001383046484383435,1.0410666370707083e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",7,0.0026428670486633617,1.3730262024769446e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",1,0.00044384678597202479,1.9699996941769638e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",2,4.8152339652478109e-05,4.1331790540741243e-08
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",1,0.00046577676599946979,2.1694799574492485e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",1,9.5342587368330185e-05,9.0902089660876739e-09
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",1,0.00043749584145826373,1.9140261129327423e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",1,-0.00020606856949365038,4.2464255333159413e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",1,0.00030951434603819494,9.5799130403451486e-08
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",1,-0.0005921772331394029,3.5067387544863876e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",1,0.000804790754311141,6.4768815822469528e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.006, 0.007)",1,0.00053047381833152413,2.8140247193522685e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.007, 0.008)",23,0.0058522396071214238,3.9588724022981488e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.008, 0.009000000000000001)",476,0.085813761834856311,9.5677381853057934e-05
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.009000000000000001, 0.01)",928,0.1996729708175834,0.00018212019503642798
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.01, 0.011)",31,0.0099016818381126546,5.5466225478312376e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.011, 0.012)",12,0.0054284569408880748,2.7754493557612608e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.012, 0.013000000000000001)",3,0.0010741914302028494,4.7524152893610121e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.013000000000000001, 0.014)",4,0.0018259319807584478,1.0194377717689605e-06
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.014, 0.015)",2,0.00079669868946525071,3.5005168992838678e-07
