dataset,photon_pt,photon_sieie,n,weight_nominal:sumw,weight_nominal:sumw2
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.001, 0.002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.002, 0.003)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.003, 0.004)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.004, 0.005)",1,0.00044923515425407748,2.0181222381768479e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.005, 0.006)",4,0.00084677575511234171,7.5033194814566097e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.006, 0.007)",10,0.0037730126388162795,1.8958425174396326e-06
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.007, 0.008)",168,0.044790369116580325,3.2839167159986091e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.008, 0.009000000000000001)",3583,0.89615319187275067,0.00070821639025085226
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.009000000000000001, 0.01)",7300,1.8922154707792136,0.0014337990273177274
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.01, 0.011)",127,0.028413134532642562,2.5219075733252193e-05
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.011, 0.012)",3,0.00048415009739881214,3.1549523630264642e-07
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.012, 0.013000000000000001)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.013000000000000001, 0.014)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.014, 0.015)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.015, 0.016)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.016, 0.017)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.017, 0.018000000000000002)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.018000000000000002, 0.019)",0,,
G1Jet_Pt-100To250,"[200.0, 250.0)","[0.019, 0.02)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.0, 0.001)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.001, 0.002)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.002, 0.003)",1,-0.00049077995251028961,2.408649617860021e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.003, 0.004)",2,0.00039168366624162468,3.0142366322337456e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.004, 0.005)",1,0.00044529163336632163,1.982846387460466e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.005, 0.006)",3,0.00012421151119405491,3.8282978456265255e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.006, 0.007)",3,-0.00065304659061951251,5.1196065313109193e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.007, 0.008)",94,0.014003576742792253,1.988653753169622e-05
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.008, 0.009000000000000001)",2217,0.35957562920761343,0.00044251752355435527
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.009000000000000001, 0.01)",4489,0.75394704565826776,0.00087614284186018194
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.01, 0.011)",68,0.0072358453758497032,1.2495265758745646e-05
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.011, 0.012)",3,0.00063732267136507731,8.9268519556765397e-07
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.012, 0.013000000000000001)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.013000000000000001, 0.014)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.014, 0.015)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.015, 0.016)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.016, 0.017)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.017, 0.018000000000000002)",0,,
G1Jet_Pt-100To250,"[250.0, 300.0)","[0.018000000000000002, 0.019)",0,,
