,category,met,signal yield,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,asimov_0Syst,asimov_0.05Syst,asimov_0.1Syst
0,1.01,"[200.0, 300.0)",1323172.55±29748.2,4808645.6±245626.2,3106894.71±188228.5,147194.69±86666.7,181792.81±28294.0,183618.09±29586.0,0.0±0.0,2512317.85±128841.9,578.49,5.07,2.53
1,1.01,"[300.0, 400.0)",936848.88±27992.6,2068446.73±158377.2,934191.34±104872.8,15026.84±7386.4,92703.81±18463.4,179001.21±28975.0,0.0±0.0,1784372.42±116763.0,609.69,7.97,3.98
2,1.01,"[400.0, inf)",1074433.46±30420.3,1329804.97±101767.9,402526.68±69343.1,15296.13±8189.8,70709.42±25901.9,160799.91±27554.9,0.0±0.0,1754906.29±70543.4,835.89,13.14,6.57
3,1.02,"[200.0, 300.0)",1137447.01±33309.8,28870312.52±1629541.2,17720051.8±436807.3,116905.3±66016.1,3397942.84±183865.2,4051398.67±147039.6,1679212.15±1540050.2,3042248.77±184861.0,210.32,0.78,0.39
4,1.02,"[300.0, 400.0)",1396594.5±36522.1,23355419.44±537775.0,14709356.39±397764.9,43293.62±13231.3,2630301.43±233626.3,3733349.63±142528.1,167790.3±115237.6,3467922.58±209686.8,286.18,1.17,0.59
5,1.02,"[400.0, inf)",2118550.94±72789.5,20036749.65±455157.4,9261208.56±311549.5,382988.48±143262.8,2272154.5±163715.8,5548563.33±153796.6,0.0±0.0,4690385.71±210767.6,465.29,2.04,1.02
6,1.03,"[200.0, 300.0)",1997928.28±36370.3,37875749.62±873393.1,32402679.17±582647.0,85608.26±59267.0,735483.18±61735.4,914237.78±71179.1,770206.03±602744.2,4965463.47±221291.4,321.84,1.04,0.52
7,1.03,"[300.0, 400.0)",2317692.59±38891.3,30665261.13±601276.9,26451350.86±551043.6,10372.31±10194.8,426166.1±36568.5,813384.19±68812.0,63001.9±45521.6,5218678.35±226161.2,413.42,1.48,0.74
8,1.03,"[400.0, 600.0)",2495283.45±40201.5,17509893.84±428267.6,13995246.33±386060.2,47293.61±28501.6,351760.93±38128.3,849735.24±63364.5,0.0±0.0,4761141.18±172353.3,582.94,2.72,1.36
9,1.03,"[600.0, inf)",639127.26±21445.7,2358789.55±155063.4,1191478.52±113907.7,50033.4±43024.1,93616.08±13987.3,389987.27±37581.0,0.0±0.0,1272801.53±89836.3,399.2,4.99,2.5
10,1.04,"[200.0, 300.0)",7804093.92±93271.0,270849378.52±2284896.4,223950835.19±1601404.7,1736333.11±413727.6,8788186.76±836760.9,10530385.11±403865.9,935305.91±935305.9,32712426.35±869315.8,471.95,0.57,0.29
11,1.04,"[300.0, 400.0)",3931323.99±64901.8,65836813.88±1041019.2,47288660.54±717128.4,703250.24±220131.6,3417564.09±456935.6,5085539.86±237196.7,0.0±0.0,13273123.13±510048.8,479.81,1.17,0.59
12,1.04,"[400.0, inf)",1859580.58±55271.8,13690645.57±435550.0,6811190.46±266265.8,508887.72±157717.4,848702.92±91540.1,2374574.38±126536.4,0.0±0.0,5006870.67±269435.5,491.8,2.6,1.3
13,1.05,"[200.0, 300.0)",4496917.74±54208.7,168282672.35±2533343.6,151539788.08±1297830.9,114112.35±93037.6,894646.51±177068.2,1424640.54±147919.2,2089996.85±2089996.9,16716405.76±553559.0,345.13,0.53,0.26
14,1.05,"[300.0, 400.0)",2250941.96±43555.8,35468158.5±677478.8,30105775.99±569242.3,81915.82±70220.9,413356.1±162366.3,622055.76±71945.0,0.0±0.0,6495996.79±316809.0,374.06,1.24,0.62
15,1.05,"[400.0, inf)",945764.26±36151.0,5926863.21±275412.0,3796783.77±197554.2,56052.22±38363.5,104454.21±19736.7,367293.15±41907.4,0.0±0.0,2548044.13±185778.0,378.78,3.04,1.52
16,1.06,"[200.0, 300.0)",17975488.79±309531.9,1151565335.9±6156187.1,624461184.88±2613565.1,6727249.46±687275.7,163401623.17±3645988.8,265590232.87±2403515.7,5792502.79±2892917.5,103568031.52±1803409.2,528.34,0.31,0.16
17,1.06,"[300.0, 400.0)",7430071.76±303442.8,268561311.56±2308738.1,94849395.14±1021836.2,3459092.97±514448.9,45516623.59±1446137.0,100371099.45±1153067.6,214675.86±214675.9,31580496.32±804101.6,451.32,0.55,0.27
18,1.06,"[400.0, 600.0)",2693239.62±195237.2,79384571.16±1076008.2,12184015.05±366358.4,1703871.54±342484.1,14240401.45±584293.4,40591838.54±507703.1,0.0±0.0,13357684.19±587567.9,300.59,0.67,0.34
19,1.06,"[600.0, inf)",265303.5±20295.4,10443431.43±256761.2,290111.64±54827.2,345150.44±139713.9,1572883.54±64341.5,6885182.41±156471.2,0.0±0.0,1615406.9±123244.4,81.75,0.5,0.25
20,1.07,"[200.0, 300.0)",17060511.89±251329.3,680901717.99±7727749.0,432315246.68±2176291.3,4649636.65±629671.6,75045939.14±2155929.3,105049322.55±1327384.3,16456650.79±6830275.4,64445434.06±1259324.7,651.11,0.5,0.25
21,1.07,"[300.0, 400.0)",7939814.58±298532.9,173370871.89±1774755.8,79915979.27±935221.4,1059474.41±260903.7,24758593.91±946853.7,49214936.6±741130.2,860730.16±535755.3,25500972.12±750553.4,598.49,0.9,0.45
22,1.07,"[400.0, inf)",3852068.07±72451.3,63230352.97±840223.3,14508433.03±399767.6,1045467.25±290618.7,9850260.4±369242.5,28219600.62±387329.2,136754.24±80707.7,13321905.49±417220.9,479.63,1.19,0.6
23,1.08,"[200.0, 300.0)",11523450.48±126845.9,363379342.3±2993983.7,240599052.05±1605989.4,1814686.31±380696.9,26174397.52±1406450.6,57595402.74±1120282.5,2414905.31±1425715.7,46304348.85±995035.1,601.35,0.63,0.31
24,1.08,"[300.0, 400.0)",4619387.09±81642.9,64034716.07±1147005.7,24945892.86±522335.8,855294.9±207214.6,7737421.94±614360.3,20674578.58±507420.1,243215.13±243215.1,14197699.75±558970.3,570.53,1.41,0.7
