,category,met,bkg yield,$t\bar{t}$ + jets yield,EWK V + 2 jets yield,Single Top yield,W$(\rightarrow \ell\nu)$ + jets yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",31926900.79±649849.7,27268437.95±537548.9,47643.94±36033.1,1620506.86±208777.5,1187295.56±235159.0,1832861.97±182151.5,0.09
1,1.01,"[300.0, 400.0)",20643024.89±495687.7,18050232.0±435508.2,49483.11±36430.8,1131158.17±181430.4,438056.41±96712.9,999396.75±111611.2,0.12
2,1.01,"[400.0, inf)",13561596.66±407920.9,11601400.17±351563.9,158775.41±72709.4,787028.1±144434.4,286740.97±71057.8,750664.22±107791.5,0.17
3,1.02,"[200.0, 300.0)",76300934.12±960062.4,66220883.69±841348.2,60551.64±35018.1,3367518.7±337895.6,3506347.55±130179.7,3239936.14±285605.0,0.12
4,1.02,"[300.0, 400.0)",58438868.4±835988.4,51596282.33±748042.1,270792.73±114759.2,2299768.51±267978.9,2101477.4±114937.2,2282012.8±202973.9,0.19
5,1.02,"[400.0, inf)",50447990.54±817108.0,41319985.51±678422.6,624278.61±165504.6,4401765.43±371143.9,2074929.28±81238.3,2206765.76±189196.0,0.36
6,1.03,"[200.0, 300.0)",93690195.62±1026012.9,86535879.8±955088.3,34010.57±34010.6,2461955.22±276647.8,866998.85±60258.0,3929012.84±243463.0,0.15
7,1.03,"[300.0, 400.0)",73072829.07±936195.8,67101733.01±848732.9,83095.8±58839.5,2521430.68±315244.5,597068.04±61708.0,2934985.83±222658.6,0.23
8,1.03,"[400.0, 600.0)",48479713.86±772843.0,43168491.77±684885.2,89662.13±52574.4,2886801.01±297432.9,442913.89±39864.5,2052634.96±188429.0,0.33
9,1.03,"[600.0, inf)",6396165.11±313270.0,5145274.42±247480.9,116351.44±68156.6,758586.05±158937.8,147737.96±18108.6,264195.73±81770.9,0.56
10,1.04,"[200.0, 300.0)",376303448.3±2387495.9,318373580.68±1887700.7,2899862.61±329722.1,27393245.75±930832.2,18191967.7±894773.9,9874732.33±601011.0,0.11
11,1.04,"[300.0, 400.0)",124335532.8±1365703.3,100295644.24±1046749.1,2406205.45±314803.5,11314839.32±594618.9,6875282.53±508821.7,3658426.72±240874.8,0.17
12,1.04,"[400.0, inf)",41650665.67±833499.8,27340418.42±528631.4,3523015.03±357455.9,6143119.33±458881.4,2982043.3±175687.8,1762052.54±214753.7,0.24
13,1.05,"[200.0, 300.0)",310548626.06±2054923.6,282226684.43±1850990.7,1191707.06±210116.7,17577134.69±731655.4,2654156.59±346354.2,7279076.92±311999.2,0.12
14,1.05,"[300.0, 400.0)",95932057.26±1129658.4,83461683.0±963241.6,1193614.28±224315.3,7740165.75±491493.8,857950.89±121795.6,2876297.11±204210.5,0.21
15,1.05,"[400.0, inf)",26204091.61±600017.6,20065959.68±448663.9,1326616.9±205202.3,3199571.99±311770.5,389159.26±39897.3,1317870.3±133714.9,0.36
16,1.06,"[200.0, 300.0)",1042628203.97±4984352.1,815873035.36±2989218.1,6541451.19±502456.7,69109355.06±1531898.0,125442824.21±3088954.5,26829745.26±1941196.0,0.11
17,1.06,"[300.0, 400.0)",261923526.39±2305006.6,178780289.94±1403358.2,4073594.49±407946.4,23471688.58±856886.9,47962505.69±1492856.4,8115266.31±463297.8,0.18
18,1.06,"[400.0, 600.0)",74459409.59±1224022.3,37139962.4±641060.2,3156190.87±358101.3,9499799.29±537431.1,20918821.28±632426.7,3905976.79±519945.0,0.22
19,1.06,"[600.0, inf)",10484385.79±406575.7,2479176.78±171160.9,1543980.52±240709.8,1909415.18±241141.1,4181343.13±112339.2,387393.09±85504.5,0.16
20,1.07,"[200.0, 300.0)",545923304.81±3049324.5,456245210.52±2256115.6,1669204.36±258761.3,26966317.92±917503.1,46803712.22±1518251.2,14955162.8±997452.2,0.13
21,1.07,"[300.0, 400.0)",163681033.14±1633825.8,125118300.24±1181609.3,1270453.42±215878.0,12843873.51±664146.3,18576486.03±684892.3,6232982.17±562704.6,0.22
