,category,met,bkg yield,$\gamma$ + jets yield,$t\bar{t}$ + jets yield,Single Top yield,W$(\rightarrow \ell\nu)$ + jets yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",50241395.55±778604.4,0.0±0.0,44734043.41±683031.3,2723114.42±275355.4,915399.92±180296.6,1896329.8±177151.7,0.05
1,1.01,"[300.0, 400.0)",32037592.07±606765.3,22359.76±22359.8,28821526.94±541650.8,1454271.04±204025.4,306617.6±51560.7,1470300.94±173266.3,0.12
2,1.01,"[400.0, inf)",20184418.62±513179.6,1444.26±1444.3,17747201.9±436881.2,1199605.46±219201.4,221312.22±68474.4,1039107.46±140603.3,0.12
3,1.02,"[200.0, 300.0)",54347076.4±1103910.0,339659.31±205241.1,45858217.86±688393.3,2399717.13±309109.1,2083907.21±94507.7,3711225.57±773408.8,0.08
4,1.02,"[300.0, 400.0)",42220543.23±700584.9,63120.73±28437.6,37107866.15±619751.4,2375875.79±270109.5,1318586.89±65671.6,1417965.96±169364.7,0.15
5,1.02,"[400.0, inf)",38063596.39±705200.2,44264.85±26908.5,30243506.86±566262.4,4180699.74±352491.0,1384647.81±65591.4,2309540.54±217823.6,0.26
6,1.03,"[200.0, 300.0)",66245820.74±854933.8,0.0±0.0,60518636.69±792060.8,2172876.94±242000.3,526827.1±48795.3,3113465.08±206543.8,0.13
7,1.03,"[300.0, 400.0)",55702783.96±800190.6,-1808.86±23385.1,51247878.92±731607.5,2065941.31±259229.5,421726.95±43317.1,2054747.44±188391.1,0.15
8,1.03,"[400.0, 600.0)",37871992.69±670474.3,40718.97±25215.1,33609682.34±597885.8,1791121.56±217340.9,376876.62±41743.9,2140206.15±206177.6,0.23
9,1.03,"[600.0, inf)",5470183.04±270526.3,-285.14±19532.6,4344975.15±211135.9,670564.73±156560.2,94866.04±13731.4,390799.99±59571.6,0.56
10,1.04,"[200.0, 300.0)",290922768.27±2381256.6,1207481.25±768096.7,243831156.92±1634012.7,19089498.28±781108.0,14621878.27±812631.6,12427313.86±1067742.3,0.09
11,1.04,"[300.0, 400.0)",98646996.06±1192737.0,384702.11±191938.1,79773917.11±919273.6,9193262.22±534249.0,4957992.94±360650.2,4463851.46±353978.6,0.13
12,1.04,"[400.0, inf)",34601414.79±733085.0,120578.21±44782.0,22501445.77±474660.9,5234101.64±384201.0,2483700.37±169778.6,4331972.86±365673.9,0.2
13,1.05,"[200.0, 300.0)",235344388.88±1692110.8,0.0±0.0,214958411.93±1519876.1,12835439.77±632949.2,1504505.78±161232.9,6277335.74±356005.6,0.1
14,1.05,"[300.0, 400.0)",75204538.87±957880.3,25085.44±50098.8,66417743.21±824825.2,5478758.53±411149.9,577668.53±75320.1,2828127.23±245033.4,0.16
15,1.05,"[400.0, inf)",21703895.74±543377.8,10734.17±11498.0,16953368.97±412274.8,2471179.46±260015.9,320913.64±42277.4,2003428.32±236202.2,0.26
16,1.06,"[200.0, 300.0)",726009565.13±5391451.8,3812215.15±1658206.6,553997523.44±2449368.1,49095007.85±1246039.9,89483220.4±3037975.4,30258022.87±3088232.8,0.09
17,1.06,"[300.0, 400.0)",187929640.45±2033199.6,2444024.35±452219.3,127260249.13±1168935.8,18379630.08±794095.5,31102612.7±1235351.1,8998369.05±637549.4,0.14
