,category,met,bkg yield,$t\bar{t}$ + jets yield,Drell-Yan yield,EWK V + 2 jets yield,Multiboson yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",100713.4±9088.0,0.0±0.0,33571.03±6784.3,0.0±0.0,0.0±0.0,67142.37±6046.9,0.0
1,1.01,"[300.0, 400.0)",79120.35±11187.5,0.0±0.0,28586.28±8224.8,0.0±0.0,0.0±0.0,50534.07±7583.7,0.0
2,1.01,"[400.0, inf)",114506.24±11681.5,0.0±0.0,40850.39±7972.0,0.0±0.0,7888.43±5628.4,65767.42±6420.7,0.0
3,1.02,"[200.0, 300.0)",934227.39±42586.4,12927.83±9026.0,819708.55±40391.7,0.0±0.0,5549.37±4431.6,96041.65±9000.3,0.0
4,1.02,"[300.0, 400.0)",896368.04±48475.0,48764.51±23759.7,736368.01±36541.1,18718.08±18718.1,0.0±0.0,92517.45±9984.4,0.0
5,1.02,"[400.0, inf)",933853.51±50391.0,62441.46±25952.0,712290.84±33090.4,44231.78±25717.4,7739.42±4555.3,107150.0±9414.6,0.0
6,1.03,"[200.0, 300.0)",420770.71±33593.6,54717.49±21970.7,214728.49±22158.2,0.0±0.0,0.0±0.0,151324.73±12443.2,0.0
7,1.03,"[300.0, 400.0)",359568.89±34406.9,71658.7±27544.6,123659.53±15267.9,0.0±0.0,0.0±0.0,165716.62±13895.8,0.41
8,1.03,"[400.0, 600.0)",530322.55±38309.8,74648.87±27623.7,285979.11±22381.8,0.0±0.0,2642.9±2561.2,167051.68±14038.1,0.0
9,1.03,"[600.0, inf)",231305.13±37315.0,0.0±0.0,144810.7±15316.5,0.0±0.0,2661.66±2661.7,83832.77±33922.5,0.0
10,1.04,"[200.0, 300.0)",1997529.7±138088.4,304077.35±56035.1,1267446.61±115180.2,43827.26±31467.0,16357.29±7241.4,365821.19±40241.7,0.0
11,1.04,"[300.0, 400.0)",962558.11±58229.8,180557.61±40231.8,513038.44±34626.2,0.0±0.0,22452.22±8630.6,246509.84±22330.5,0.0
12,1.04,"[400.0, inf)",1386484.66±144859.7,130329.37±37998.1,789610.96±37875.9,44099.33±27553.0,267389.65±123943.4,155055.36±44550.7,0.0
13,1.05,"[200.0, 300.0)",567678.29±52674.9,203114.91±46004.6,163860.81±21519.2,0.0±0.0,3178.04±2852.8,197524.53±13675.0,0.0
14,1.05,"[300.0, 400.0)",324381.24±39059.4,134283.21±35248.4,61518.1±11059.9,0.0±0.0,8666.55±6158.4,119913.38±11087.9,0.0
15,1.05,"[400.0, inf)",288298.91±35660.0,74681.5±26996.0,128398.39±14859.6,0.0±0.0,17408.92±14159.9,69327.02±11076.8,0.52
16,1.06,"[200.0, 300.0)",32645923.52±759582.8,2724852.63±163343.3,27663409.46±675557.6,467194.25±123292.8,563294.42±218350.8,1229800.37±176153.9,0.01
17,1.06,"[300.0, 400.0)",13559101.67±425557.0,1031664.11±100302.4,11083985.29±260210.8,268879.96±103320.4,644681.9±297074.3,530239.78±66335.7,0.0
18,1.06,"[400.0, 600.0)",5287173.61±170784.6,437531.36±59152.2,4404391.69±94827.7,151030.73±73884.0,162295.15±102918.4,133388.07±25021.9,0.03
19,1.06,"[600.0, inf)",688564.03±39940.6,70482.98±23149.4,586060.08±26875.8,18071.66±18071.7,0.0±0.0,14681.43±3316.6,0.11
20,1.07,"[200.0, 300.0)",14215638.42±445544.1,1457214.76±114572.5,11370386.14±364686.5,162950.5±80710.1,242140.28±206677.6,984934.79±56193.2,0.01
21,1.07,"[300.0, 400.0)",7044175.71±208952.1,682940.97±80812.7,5528624.87±151711.4,268661.25±97399.1,71734.29±53278.4,493898.37±42311.2,0.02
22,1.07,"[400.0, inf)",3481254.12±108878.8,275699.48±47488.0,2902068.77±76370.7,106106.76±58754.4,13465.66±9065.0,188246.11±15354.9,0.12
23,1.08,"[200.0, 300.0)",8523170.91±368676.2,1351123.11±112502.6,5872950.23±302578.6,250840.39±103538.6,309610.55±129145.8,740274.47±65680.8,0.02
24,1.08,"[300.0, 400.0)",2875328.63±138325.5,375633.97±59896.5,2134885.0±115772.4,0.0±0.0,3474.8±2121.5,363978.38±46270.3,0.09
25,1.08,"[400.0, inf)",1309455.44±99119.4,148265.64±34685.9,868404.21±39714.9,45072.12±34808.1,64644.92±54899.1,183068.56±53092.0,0.0
26,1.09,"[200.0, 300.0)",4676924.7±194593.0,686954.28±81835.9,3093484.59±157383.8,3905.14±3905.1,75365.27±63836.7,817634.14±48056.8,0.01
27,1.09,"[300.0, 400.0)",1904823.34±101995.0,133738.92±35509.6,1317696.84±86990.8,58255.98±33937.6,5957.82±2721.5,390139.31±20406.5,0.05
28,1.09,"[400.0, inf)",1015678.52±105897.6,61303.28±24488.3,605738.98±38385.3,44104.41±31322.2,79135.24±76015.1,225396.62±48804.1,0.0
29,2.01,"[200.0, 300.0)",439064581.53±4226965.6,1012129.09±107961.7,402975784.84±3969848.5,14073833.66±735332.6,19773069.3±1201300.7,1232324.95±334738.6,0.0
30,2.01,"[300.0, 400.0)",129592203.01±1997361.5,154891.2±40719.5,119918547.76±1866620.9,4545537.07±412447.0,4710969.25±559457.3,262257.73±142885.2,0.0
31,2.01,"[400.0, inf)",32876476.49±611132.9,54129.62±18939.6,29937937.31±469007.0,826629.61±148891.1,1881727.5±355862.1,176052.44±65960.2,0.0
32,2.02,"[200.0, 300.0)",49433344.27±1444468.5,2369984.89±155200.5,40557476.06±1291649.8,2207794.53±305295.6,3636759.69±528442.4,662095.57±146923.3,0.0
33,2.02,"[300.0, 400.0)",13321274.62±651339.6,437136.01±71513.4,11850396.07±613537.2,513500.98±135461.6,433533.18±151487.1,87268.52±37461.6,0.0
34,2.02,"[400.0, inf)",9510759.21±331956.5,76763.95±22406.7,8431750.06±164415.0,219759.96±93285.8,521126.82±223312.7,261358.41±155209.4,0.0
35,2.03,"[200.0, inf)",11876280.86±635198.6,1154458.38±103690.1,7217346.39±481268.2,1076882.86±187788.5,2215875.68±346337.3,213185.77±76768.2,0.01
36,2.04,"[200.0, 300.0)",109750771.26±2236172.2,661870.16±90036.4,79291701.08±1766424.0,12352731.25±697982.0,17189138.45±1167024.1,255330.31±151597.5,0.0
37,2.04,"[300.0, 400.0)",26808856.96±1008327.2,181498.6±41901.8,16132720.01±660886.3,4074773.69±364831.1,6306454.2±664095.7,114084.67±63818.4,0.0
38,2.04,"[400.0, inf)",3616250.34±361143.9,23464.78±13663.7,1758011.09±120904.0,562058.26±136279.9,1263189.22±311469.9,9526.99±5894.2,0.0
39,3.01,"[200.0, 300.0)",2700117349.82±9673764.1,3631539.5±183228.9,2599472302.44±9390202.9,63673107.04±1591338.6,23767297.31±1352792.8,9575757.82±1004899.5,0.0
40,3.01,"[300.0, 400.0)",720445715.57±3780891.4,1420071.0±119122.4,690844849.21±3605768.8,18992580.36±819846.7,6988122.82±693819.7,2200712.17±354749.4,0.0
41,3.01,"[400.0, 600.0)",217521344.46±1151998.4,701549.54±80266.7,206256342.83±931357.0,6240981.21±425810.9,3460499.32±500271.8,861971.56±147121.9,0.0
42,3.01,"[600.0, inf)",23006953.44±316708.4,76714.23±22846.9,21013063.35±150173.1,947470.97±148042.6,851126.32±233703.9,119099.55±26390.5,0.0
43,3.02,"[200.0, 300.0)",1764615681.25±7224477.0,5604885.76±237005.3,1671917520.63±6755782.8,51106624.19±1420049.1,27251395.35±1375929.5,8739796.51±1608284.0,0.0
44,3.02,"[300.0, 400.0)",545851224.93±2892611.6,2171149.17±143086.4,512472758.38±2608721.3,18189818.06±797815.5,10509893.36±887846.7,2508450.28±341350.6,0.0
45,3.02,"[400.0, 600.0)",179612425.09±987509.6,981811.84±92991.6,168309385.96±724937.8,5748020.26±408341.5,3613345.76±503442.1,960489.55±144214.6,0.0
46,3.02,"[600.0, inf)",20931381.22±308947.9,140554.07±35320.1,18939426.47±144289.7,975560.57±144067.8,749150.11±225709.9,127271.63±41008.1,0.0
47,3.03,"[200.0, 300.0)",736377179.98±3946459.8,4290839.52±204465.6,699582374.84±3728796.5,18381806.53±829122.0,10651635.62±861887.2,3476045.38±445561.6,0.0
48,3.03,"[300.0, 400.0)",262693113.62±1724568.5,1727717.07±127001.4,245915403.01±1492350.7,8822557.14±545419.3,5198453.58±639757.1,1033242.23±155330.3,0.0
49,3.03,"[400.0, 600.0)",93352054.73±670062.3,804088.71±86608.1,86735867.09±460042.9,3639222.8±332485.8,1765433.44±336731.2,409269.82±76872.6,0.0
50,3.03,"[600.0, inf)",12123716.18±483722.0,78399.24±27539.9,10822096.0±110903.7,414607.48±96131.0,262729.6±111270.4,547926.92±446439.3,0.02
51,3.04,"[200.0, 300.0)",307742984.81±2106262.7,3136258.49±174529.2,290668085.14±1934091.2,6968989.85±496840.0,4841825.92±564725.7,2131665.1±315294.3,0.0
52,3.04,"[300.0, 400.0)",127100892.8±1014332.3,1599307.52±120465.2,117742824.23±821654.1,4275512.02±382127.9,2334444.84±388004.0,1154583.53±206587.6,0.0
53,3.04,"[400.0, 600.0)",50818519.17±492574.2,912671.07±89122.3,46719759.83±311648.6,1782028.9±232456.4,1149199.96±286496.1,257441.01±38047.2,0.01
