,category,met,bkg yield,$\gamma$ + jets yield,$t\bar{t}$ + jets yield,$t\bar{t}X$ + jets yield,QCD multijet yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",3336735.19±357777.2,1390029.84±267505.3,411963.66±79752.7,1305624.06±218805.0,145554.93±26269.8,84059.75±38980.5,0.01
1,1.01,"[300.0, 400.0)",3275669.44±323491.2,989661.98±233643.5,632318.94±88863.9,1497125.72±202252.2,108958.61±21143.5,47913.03±28417.6,0.01
2,1.01,"[400.0, inf)",3404627.84±326081.2,1306753.56±244456.7,601088.52±93067.9,1361859.31±191669.3,94263.02±18411.8,42794.72±28866.8,0.06
3,1.02,"[200.0, 300.0)",32562885.76±1339192.4,28934445.56±1310190.5,851527.33±125672.9,1404999.47±229603.0,1181134.88±75287.1,191310.0±51558.2,0.0
4,1.02,"[300.0, 400.0)",34330422.69±1354137.5,29618886.17±1310031.5,1154759.79±141241.0,2300830.58±289120.5,957312.51±62534.2,302405.55±100291.5,0.01
5,1.02,"[400.0, inf)",46436561.44±1577350.0,41587136.45±1531293.5,960400.08±123474.7,2687493.67±342145.4,854985.5±50403.4,348280.55±91234.5,0.0
6,1.03,"[200.0, 300.0)",11780514.51±746720.6,6264266.03±636395.7,1675688.42±185852.1,3330739.26±334195.3,342366.2±40585.4,168706.26±68690.7,0.01
7,1.03,"[300.0, 400.0)",12343701.78±714230.0,6335727.35±586871.6,1787577.02±172692.5,3670424.28±360364.7,391690.15±40351.0,158753.43±66278.2,0.0
8,1.03,"[400.0, 600.0)",10565554.91±762096.3,6166882.6±644616.4,1402360.46±143611.1,2582127.53±372655.2,308046.15±31199.9,111275.18±69240.7,0.05
9,1.03,"[600.0, inf)",3408256.41±377657.9,1920518.79±302620.2,293367.79±59475.6,1107292.22±210806.3,34131.42±9395.0,54807.17±54618.7,0.05
10,1.04,"[200.0, 300.0)",36310070.84±1860699.1,28614019.16±1790525.7,1491144.53±160876.1,4163979.56±430781.0,1426413.41±82929.2,616018.83±194650.1,0.0
