dataset,region,category,met,n,weight_nominal:sumw,weight_nominal:sumw2
DYJetsToLL_M-50_HT-100to200,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[200.0, 300.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[300.0, 400.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[400.0, 500.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[500.0, 600.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[600.0, 700.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[700.0, 800.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[800.0, 900.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[900.0, 1000.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1000.0, 1100.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1100.0, 1200.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1200.0, 1300.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1300.0, 1400.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1400.0, 1500.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1500.0, 1600.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1600.0, 1700.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1700.0, 1800.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1800.0, 1900.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[1900.0, 2000.0)",0,,
DYJetsToLL_M-50_HT-100to200,6,3.01,"[2000.0, inf)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[-inf, 200.0)",0,,
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[200.0, 300.0)",144,1.0678529082212485,0.00861834046847471
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[300.0, 400.0)",80,0.5369692931482177,0.003961534706626449
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[400.0, 500.0)",46,0.30076873278885974,0.0022082128349482167
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[500.0, 600.0)",27,0.1476556509075197,0.0008990922739633329
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[600.0, 700.0)",24,0.11719724490790788,0.0006333629210407032
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[700.0, 800.0)",8,0.034463920337497934,0.00017841932769329484
DYJetsToLL_M-50_HT-1200to2500,6,3.01,"[800.0, 900.0)",9,0.039466258197812965,0.00019742087955238136
