,category,met,bkg yield,$t\bar{t}$ + jets yield,QCD multijet yield,Single Top yield,W$(\rightarrow \ell\nu)$ + jets yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",66845888.44±2231181.7,45780107.58±819781.0,11599365.38±2023180.3,5067968.55±386812.7,788739.18±50121.0,4765795.57±248191.4,1.7
1,1.01,"[300.0, 400.0)",25666069.28±813558.4,18189515.22±491127.4,2584173.57±532831.4,2484803.21±311420.9,487933.06±34467.3,2695197.87±197905.6,2.93
2,1.01,"[400.0, inf)",14912973.25±489883.5,10624827.59±352008.6,967045.58±184359.8,1354323.59±205347.8,329626.47±22306.7,2287920.52±200081.3,4.18
3,1.02,"[200.0, 300.0)",411090321.37±8614519.0,117001154.53±1186979.4,260491174.57±8487468.6,8653729.3±604104.6,10459650.9±245099.6,15928454.07±583081.0,0.35
4,1.02,"[300.0, 400.0)",147517133.07±3816088.3,60635828.14±832657.5,68650089.5±3673978.8,4202531.16±351116.6,5670033.05±120038.2,9483473.44±484078.4,0.76
5,1.02,"[400.0, inf)",75182668.19±1765823.4,38913647.91±657007.8,22057618.04±1554910.4,2875075.38±296200.7,4083253.4±85830.7,8297387.49±417895.6,1.37
6,1.03,"[200.0, 300.0)",299509664.67±6020457.1,190095879.43±1492860.1,89047712.18±5792442.0,7565824.28±520825.4,2421980.79±193801.7,12982487.29±397374.2,0.86
7,1.03,"[300.0, 400.0)",132671640.71±2744959.5,99808726.28±1063775.2,21437934.75±2471091.4,3735602.28±415971.8,1266383.04±67375.1,8395142.47±347408.4,1.46
8,1.03,"[400.0, 600.0)",65429645.91±1345516.2,52151720.63±771743.2,5747714.87±990161.3,2719539.6±385816.3,864578.42±123795.2,5360593.45±267005.0,2.12
9,1.03,"[600.0, inf)",11272474.33±391972.9,9175619.91±330424.1,380729.3±93252.4,581990.06±142978.9,169710.13±17564.9,1362254.07±123781.4,3.41
10,1.04,"[200.0, 300.0)",350927694.28±10452246.7,167144319.42±1326124.6,132849094.31±10294640.8,29356891.06±984479.1,6974667.18±363463.1,16934990.24±642067.7,0.66
11,1.04,"[300.0, 400.0)",99138030.35±3133218.9,52227724.89±721413.6,25010083.69±2945544.0,11507163.97±607505.4,3484845.93±270430.0,8038207.42±423742.8,1.13
12,1.04,"[400.0, inf)",43277070.49±1383843.5,22940809.43±470906.7,6318401.78±1106398.3,6817927.39±510712.1,1691757.97±69409.3,6313269.64±452416.4,1.83
13,1.05,"[200.0, 300.0)",147597889.08±5401229.2,98716710.79±1006134.1,27468253.13±5252253.8,15520233.87±681204.5,1001185.37±185388.6,6146116.68±277956.2,0.84
14,1.05,"[300.0, 400.0)",39386414.23±915848.2,28295883.7±523892.3,2224684.93±564404.3,5743334.71±426182.4,418768.68±44824.2,3279688.79±250083.5,1.44
15,1.05,"[400.0, inf)",15764886.06±493652.2,10551062.68±321958.7,351576.6±98371.7,2927853.81±294459.4,182691.91±19897.2,2114758.14±209567.9,2.25
16,1.06,"[200.0, 300.0)",822506970.97±20347763.3,176312574.94±1379210.9,512696292.92±20186383.6,16900035.54±782153.4,56410650.56±1650923.2,62091404.13±1142230.8,0.23
17,1.06,"[300.0, 400.0)",238748190.15±9239632.1,45773319.24±687680.1,142459929.92±9143572.8,6208464.27±568919.1,20491405.75±721729.4,24662597.58±671497.7,0.35
18,1.06,"[400.0, 600.0)",72807978.79±2934442.6,14769700.44±384359.7,34573755.68±2836254.4,2518988.75±301576.8,8392652.41±274398.0,12896697.14±503205.4,0.47
19,1.06,"[600.0, inf)",11010901.28±800714.9,1808401.17±134125.0,4197730.9±711033.2,694922.02±239938.2,1503947.02±55688.2,2890429.84±238798.8,0.76
20,1.07,"[200.0, 300.0)",695545037.21±16702684.8,185691800.52±1430960.3,424476286.4±16573328.7,14232092.22±751419.4,32207528.34±849662.7,41764416.83±988068.3,0.4
21,1.07,"[300.0, 400.0)",191426545.74±6258827.2,55868730.72±775964.4,101569117.27±6156455.2,5731751.35±481662.0,12173141.68±382121.1,17314647.81±541374.7,0.64
22,1.07,"[400.0, inf)",79808944.31±2600783.1,22147201.63±473213.5,36782801.52±2486716.8,2781070.89±283539.2,7088914.85±233129.5,11709440.33±471603.4,0.87
23,1.08,"[200.0, 300.0)",169875367.13±9077175.2,42381069.45±672025.6,102245040.32±9011946.3,5555845.46±446684.9,7485948.78±530464.8,12982555.49±498304.7,0.45
