,category,met,bkg yield,$t\bar{t}$ + jets yield,QCD multijet yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",3271521.15±537008.4,2221742.29±155394.2,519692.85±505281.6,74037.94±30267.3,17410.49±8785.2,580011.63±89575.8,4.14
1,1.01,"[300.0, 400.0)",1911215.33±170974.0,1487320.08±131580.0,0.0±0.0,112029.77±73786.7,26344.56±10298.4,405648.32±80273.7,5.91
2,1.01,"[400.0, inf)",1758763.54±159391.7,1257967.05±116734.5,0.0±0.0,39947.73±9560.3,12463.52±6073.8,559725.65±108391.7,5.95
3,1.02,"[200.0, 300.0)",20288459.27±1592942.0,14866784.18±401973.1,2036025.87±1524097.2,1036194.73±103957.4,787957.22±66989.9,1861917.03±194729.7,1.46
4,1.02,"[300.0, 400.0)",25017929.66±808461.9,19506171.51±458595.3,762987.31±578190.0,1507508.08±177397.9,1116730.51±77452.4,2610873.44±268179.8,1.91
5,1.02,"[400.0, inf)",18664427.78±718746.3,12590416.09±359540.8,988626.94±543866.5,1179393.22±72169.0,1305990.9±75286.0,3027223.87±284619.4,2.24
6,1.03,"[200.0, 300.0)",33438933.42±608792.0,31279995.12±570958.7,69729.0±69729.0,241068.21±31652.9,180301.06±32324.1,2287953.06±195278.0,1.82
7,1.03,"[300.0, 400.0)",42744426.33±1106945.7,38265348.84±635781.3,1153873.97±864438.3,264175.56±41752.4,197947.3±31347.4,3704624.25±267729.6,1.93
8,1.03,"[400.0, 600.0)",25186436.15±551160.1,22556325.04±495705.0,53899.93±53899.9,230809.74±32195.3,219047.32±30016.1,2760562.59±231595.3,2.46
9,1.03,"[600.0, inf)",3328768.05±196536.3,2700047.44±170498.7,20036.89±20036.9,48005.9±10540.3,38396.65±11508.3,632960.77±94836.1,3.22
10,1.04,"[200.0, 300.0)",154432151.74±3154908.8,128058093.03±1199662.5,5374821.42±2780596.9,3611199.5±513820.9,2070272.25±148139.6,17140532.0±706186.0,1.17
11,1.04,"[300.0, 400.0)",43888477.25±969070.8,34300653.27±612040.4,765012.74±574971.7,1420702.53±226032.8,1073475.22±99814.7,7074480.73±416747.6,1.67
12,1.04,"[400.0, inf)",13884572.8±787760.3,8225193.32±288079.2,953746.74±647662.5,632773.09±91133.6,432117.65±46169.1,3937032.28±328621.3,2.09
13,1.05,"[200.0, 300.0)",93515004.61±1185635.5,85252481.69±958349.7,780787.25±550815.5,285401.83±67816.8,257116.05±47288.0,7987671.37±421520.6,1.11
14,1.05,"[300.0, 400.0)",25727558.56±569836.6,22750081.61±496397.8,0.0±0.0,149661.4±40818.3,140953.64±32063.3,3101178.71±275406.7,1.58
15,1.05,"[400.0, inf)",7491766.52±338269.8,5558305.82±245280.7,0.0±0.0,57487.62±13500.0,65351.82±16353.0,1955696.33±232176.5,1.9
16,1.06,"[200.0, 300.0)",403253892.45±9723562.5,217633053.56±1527028.7,56167968.44±9289705.8,52422041.89±1923584.7,42666455.77±899533.2,36975062.34±1188176.0,0.64
17,1.06,"[300.0, 400.0)",105515437.24±3136359.6,50068988.84±740155.6,10692101.7±2848230.6,16363856.77±747501.9,16530653.56±398065.2,12909065.66±681416.4,0.98
18,1.06,"[400.0, 600.0)",29166978.03±824216.7,9987760.28±322511.8,955165.45±481990.4,6511697.4±360187.1,6423674.92±182754.4,5565992.3±424519.3,0.94
19,1.06,"[600.0, inf)",4090768.43±265035.5,691593.72±81809.5,229972.15±115030.8,926879.95±47037.5,1018887.87±63248.5,1250637.64±210064.8,0.66
20,1.07,"[200.0, 300.0)",293799195.89±7507709.0,180417664.01±1391246.0,42428149.67±7216168.8,27168529.33±1116483.3,21508340.98±525922.7,25670333.91±915941.9,1.14
21,1.07,"[300.0, 400.0)",92317793.06±2944394.9,52601706.86±750542.2,8414466.35±2707048.6,11776959.37±617016.4,10368937.21±293085.1,10526676.69±560448.2,1.46
22,1.07,"[400.0, inf)",37766096.36±1533419.8,16230216.62±410564.7,3778810.15±1364241.4,5314798.48±189737.6,5601987.22±159834.2,7529929.91±512796.2,1.79
23,1.08,"[200.0, 300.0)",97071060.38±3408188.7,61332794.81±809353.0,7951167.35±3153354.0,7808202.17±723257.6,8706082.71±374111.4,12672132.25±596555.1,1.42
