,category,met,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",2410991.9±179968.2,1352258.65±114207.5,14008.83±9049.1,119982.02±18294.0,67047.9±17430.2,19024.98±19025.0,1121715.17±135896.2,10.51
1,1.01,"[300.0, 400.0)",641330.44±75722.1,367332.41±59069.5,13326.68±7294.1,33993.73±7424.7,30849.25±12189.1,0.0±0.0,370764.18±45975.2,21.43
2,1.01,"[400.0, inf)",330330.21±47281.8,116782.16±28893.0,9520.34±5575.3,28783.54±8148.2,25049.51±9563.5,0.0±0.0,290019.16±36404.5,29.74
3,1.02,"[200.0, 300.0)",15341982.86±605506.5,10397531.55±331174.6,23349.86±8934.1,1613324.57±69294.3,1132848.73±77897.5,559090.83±437088.0,1932142.47±235010.7,2.02
4,1.02,"[300.0, 400.0)",8341155.18±321881.1,5606579.53±245288.1,97589.59±80436.0,835152.62±55043.7,829445.01±66139.5,41305.72±30481.1,1173801.77±170005.5,2.83
5,1.02,"[400.0, inf)",4836476.36±261737.5,2588732.1±166320.3,22464.53±8976.3,611542.24±39900.8,746020.92±56200.8,46739.7±33110.1,1132206.09±187761.8,6.05
6,1.03,"[200.0, 300.0)",22609360.57±507044.0,20243845.39±456048.6,4297.32±4297.3,340991.46±35900.9,290571.42±37158.5,224957.48±97504.1,2040087.91±193021.5,2.31
7,1.03,"[300.0, 400.0)",11368629.38±354290.5,10354951.42±326533.8,1435.14±1435.1,180683.33±35979.5,168923.6±30976.0,0.0±0.0,1095969.0±130136.0,3.67
8,1.03,"[400.0, 600.0)",5380944.51±259338.3,4593061.21±222120.6,7256.19±4419.9,93822.15±15356.1,153779.99±27175.4,93784.43±66745.4,768055.42±112781.5,5.76
9,1.03,"[600.0, inf)",665191.08±93340.5,461777.48±71620.0,1396.68±1396.7,23666.89±6873.1,34950.32±10222.5,0.0±0.0,256105.36±59720.3,14.49
10,1.04,"[200.0, 300.0)",52112375.6±853413.1,43211860.98±674555.0,140757.77±109705.9,1525531.12±259946.2,1046825.01±103884.2,312251.29±125330.0,6654582.3±410048.4,1.47
11,1.04,"[300.0, 400.0)",11141572.33±379821.4,8646600.21±294096.0,71699.31±63675.0,365049.84±46960.8,433255.54±56415.4,64522.49±64522.5,1859858.76±210867.7,2.62
12,1.04,"[400.0, inf)",3695154.77±242629.4,2061492.61±142195.7,52624.83±48095.8,257707.76±30222.5,250303.89±34146.3,10180.1±10180.1,1311759.05±186342.3,6.31
13,1.05,"[200.0, 300.0)",32801044.02±628009.8,28953248.12±545321.8,45607.33±41345.0,278140.33±123018.4,152703.14±30644.8,20801.67±20801.7,3775317.9±281232.0,1.28
14,1.05,"[300.0, 400.0)",7451593.03±1040898.6,5293718.86±230698.3,0.0±0.0,45906.37±10920.2,72600.22±32272.6,1001076.83±1001076.8,1210958.76±164566.1,2.26
15,1.05,"[400.0, inf)",2185844.07±207327.4,1321869.94±111448.5,117803.45±111547.2,36675.32±10823.4,39805.67±12689.8,0.0±0.0,766512.19±133944.8,4.24
16,1.06,"[200.0, 300.0)",137762897.82±2255327.5,78966850.37±916395.9,506541.05±181776.0,23500619.5±1122464.6,20616411.75±544718.6,3027001.09±1518890.1,12264622.72±595608.6,0.81
17,1.06,"[300.0, 400.0)",37184312.41±894068.6,16135727.04±419696.0,621598.09±289440.5,7109681.32±535736.7,9059460.6±289151.5,30315.53±30315.5,4661391.57±410606.5,1.15
18,1.06,"[400.0, 600.0)",13573167.64±438323.8,3649608.52±192065.9,97213.08±60390.1,3195820.97±239848.8,4615872.29±159915.3,59991.9±42930.2,2161631.28±258842.7,1.5
19,1.06,"[600.0, inf)",3745253.54±355762.3,337480.26±54140.6,332543.95±199445.6,560805.79±38019.2,1098754.73±64312.6,384949.42±193448.0,1085012.64±202383.5,1.43
20,1.07,"[200.0, 300.0)",96496102.92±3457344.7,61614359.6±872525.1,441502.83±185683.7,10615038.77±621045.5,9810257.35±327581.7,6850006.02±3227639.7,8494996.83±499683.3,1.36
21,1.07,"[300.0, 400.0)",22826860.42±547954.8,13053987.49±371631.7,28659.84±14789.2,3190172.88±230047.8,3962983.74±164695.1,253822.32±103362.0,2833933.09±267727.2,2.13
22,1.07,"[400.0, inf)",10239095.06±457807.2,3662942.09±188020.0,178609.41±104764.0,1739494.6±84899.2,2533907.85±105568.2,380554.61±313506.6,2214975.09±281433.4,4.4
23,1.08,"[200.0, 300.0)",38301525.5±841510.4,26946144.92±530692.7,65135.2±60486.6,3803829.32±485379.7,4013579.81±240771.4,129679.93±80129.5,3882375.42±351585.5,1.39
