dataset,met,region,category,n,weight_ttbar_scale_down:sumw,weight_ttbar_scale_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_down_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_down:sumw,weight_ttbar_scale_muR_nom_muF_down_x_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_up_x_muR_up_muF_nom:sumw,weight_ttbar_scale_muR_up_muF_down:sumw,weight_ttbar_scale_muR_up_muF_nom:sumw,weight_ttbar_scale_up:sumw
ttbar,"[1000.0, 1100.0)",0,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.02,1,5.3996822750502776e-08,4.685102162529112e-08,4.08893814399809e-08,4.672421695188934e-08,5.360973505631532e-08,4.0833577648200553e-08,3.586644388138127e-08,3.1905029376246066e-08,4.137337126980788e-08,3.632354673947947e-08,3.2060926108403536e-08
ttbar,"[1000.0, 1100.0)",0,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.06,1,1.0987591779518431e-06,1.4018591450901512e-06,1.6192701780631191e-06,1.2810984680188836e-06,1.1847755425898346e-06,1.5158310608882125e-06,1.6834053508420462e-06,1.7907318917245442e-06,1.4304081188066163e-06,1.6124738273418712e-06,1.7416648452276279e-06
ttbar,"[1000.0, 1100.0)",0,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",0,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
