dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 40.0)",865,0.22196516394615173,5.6957847846206278e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[40.0, 80.0)",1689,0.43238303065299988,0.00011121595889562741
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[80.0, 120.0)",1551,0.39748445153236389,0.00010212904453510419
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[120.0, 160.0)",1307,0.33487230539321899,8.6062325863167644e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[160.0, 200.0)",801,0.20554231107234955,5.2743627747986466e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 240.0)",523,0.13420553505420685,3.4438096918165684e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[240.0, 280.0)",350,0.089299283921718597,2.304652844031807e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[280.0, 320.0)",231,0.059276249259710312,1.5210708625090774e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[320.0, 360.0)",154,0.039517499506473541,1.0140473023056984e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[360.0, 400.0)",112,0.028739999979734421,7.3748892646108288e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 440.0)",88,0.022581428289413452,5.7945558182836976e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[440.0, 480.0)",55,0.014113392680883408,3.6215974432707299e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[480.0, 520.0)",47,0.01206053514033556,3.0948194762459025e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[520.0, 560.0)",34,0.0087246429175138474,2.2388055640476523e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[560.0, 600.0)",22,0.005645357072353363,1.4486389545709244e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 640.0)",23,0.0059019639156758785,1.514486143605609e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[640.0, 680.0)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[680.0, 720.0)",5,0.0012830356135964394,3.2923611570367939e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[720.0, 760.0)",5,0.0012830356135964394,3.2923611570367939e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[760.0, 800.0)",3,0.00025660713436082006,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 840.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[840.0, 880.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[880.0, 920.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[920.0, 960.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[960.0, 1000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1040.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1040.0, 1080.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1080.0, 1120.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1120.0, 1160.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1160.0, 1200.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1240.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1240.0, 1280.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1280.0, 1320.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1320.0, 1360.0)",0,0,0
