dataset,leadFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.4, -3.2)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.2, -3.0)",19,0.004875535611063242,1.251097273780033e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.0, -2.8)",23,0.0059019639156758785,1.514486143605609e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.8, -2.5999999999999996)",47,0.01206053514033556,3.0948194762459025e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.5999999999999996, -2.4)",92,0.023094642907381058,6.0579445744224358e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.4, -2.2)",141,0.036181606352329254,9.2844584287377074e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.2, -2.0)",180,0.046189285814762115,1.1852500392706133e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.0, -1.7999999999999998)",258,0.065178215503692627,1.6988584320642985e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",372,0.094431422650814056,2.4495167963323183e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.5999999999999996, -1.4)",473,0.12137517333030701,3.1145737011684105e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.4, -1.1999999999999997)",525,0.13471874594688416,3.4569791750982404e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.1999999999999997, -1.0)",600,0.15293785929679871,3.9508333429694176e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.0, -0.7999999999999998)",725,0.18604017794132233,4.7739238652866334e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",754,0.19348177313804626,4.964880645275116e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",855,0.219399094581604,5.6299377320101485e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",839,0.21529339253902435,5.5245822295546532e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.19999999999999973, 0.0)",888,0.22786714136600494,5.8472334785619751e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.20000000000000018)",859,0.22042553126811981,5.6562766985734925e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.20000000000000018, 0.40000000000000036)",840,0.21554999053478241,5.5311669711954892e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.40000000000000036, 0.6000000000000005)",816,0.20939141511917114,5.3731335356133059e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000005, 0.8000000000000007)",784,0.20117999613285065,5.1624225307023153e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8000000000000007, 1.0)",767,0.19630445539951324,5.050482286605984e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",677,0.17372302711009979,4.4578569941222668e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000004)",606,0.15499070286750793,3.9903417928144336e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.4000000000000004, 1.6000000000000005)",512,0.13138285279273987,3.3713778975652531e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.6000000000000005, 1.8000000000000007)",415,0.10649196058511734,2.7326597773935646e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.8000000000000007, 2.0)",286,0.073389641940593719,1.8832306523108855e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.2)",192,0.049268569797277451,1.264266757061705e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",150,0.037977855652570724,9.8770833574235439e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6000000000000005)",100,0.025147499516606331,6.5847225414472632e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.6000000000000005, 2.8000000000000007)",76,0.019502142444252968,5.004389095120132e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000007, 3.0)",31,0.007954820990562439,2.0412639969435986e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.0, 3.2)",11,0.0028226785361766815,7.243194772854622e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",6,0.0015396428061649203,3.9508336158178281e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6000000000000005)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.6000000000000005, 3.8000000000000007)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.4, -3.2)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.2, -3.0)",6,4.3629197534755804e-06,3.1725112988045812e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.0, -2.8)",21,1.381591209792532e-05,1.1103789762656469e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.8, -2.5999999999999996)",40,2.6177518520853482e-05,2.1150076481846192e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.5999999999999996, -2.4)",59,4.1447736293775961e-05,3.1196361466312439e-11
