dataset,leadFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.2, -2.986666666666667)",362,0.092891782522201538,2.3836695618228987e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.986666666666667, -2.7733333333333334)",465,0.11932231485843658,3.0618957680417225e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.7733333333333334, -2.56)",460,0.11701285094022751,3.0289722417364828e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.56, -2.3466666666666667)",483,0.12291482090950012,3.1804211175767705e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",503,0.1290733814239502,3.3121152227977291e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",495,0.12702053785324097,3.2594376534689218e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",473,0.12137517333030701,3.1145737011684105e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",451,0.11572981625795364,2.9697097488678992e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.4933333333333334, -1.28)",473,0.1208619624376297,3.1145737011684105e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.28, -1.0666666666666669)",528,0.13548856973648071,3.4767334000207484e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",479,0.12291482090950012,3.1540821510134265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",459,0.11778267472982407,3.0223876819945872e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.6400000000000001, -0.42666666666666675)",479,0.12137517333030701,3.1540821510134265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.42666666666666675, -0.21333333333333337)",463,0.11880910396575928,3.0487264666589908e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.21333333333333337, 0.0)",496,0.12727713584899902,3.2660223951097578e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.21333333333333337)",441,0.11265052855014801,2.9038625143584795e-05
