dataset,leadFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 50.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[50.0, 100.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[100.0, 150.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[150.0, 200.0)",233,0.059789463877677917,1.5342402548412792e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 250.0)",2536,0.65024250745773315,0.00016698856779839844
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[250.0, 300.0)",2551,0.65409159660339355,0.00016797626449260861
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[300.0, 350.0)",2491,0.63869518041610718,0.00016402543406002223
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[350.0, 400.0)",2350,0.60097390413284302,0.00015474097745027393
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 450.0)",1844,0.47215712070465088,0.00012142227933509275
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[450.0, 500.0)",996,0.25506749749183655,6.5583837567828596e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[500.0, 550.0)",479,0.12291482090950012,3.1540821510134265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[550.0, 600.0)",163,0.041313748806715012,1.073309795174282e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 650.0)",99,0.025404106825590134,6.5188751250389032e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[650.0, 700.0)",47,0.01206053514033556,3.0948194762459025e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[700.0, 750.0)",41,0.010520892217755318,2.6997361146641197e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[750.0, 800.0)",30,0.0076982141472399235,1.9754168079089141e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 850.0)",23,0.0059019639156758785,1.514486143605609e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[850.0, 900.0)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[900.0, 950.0)",8,0.0020528570748865604,5.2677779649457079e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[950.0, 1000.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1050.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1100.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1150.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1150.0, 1200.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1250.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1250.0, 1300.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1350.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1350.0, 1400.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1450.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1450.0, 1500.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1500.0, 1550.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1550.0, 1600.0)",0,0,0
