dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 40.0)",3182,0.81498426198959351,0.00020952586783096194
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[40.0, 80.0)",4667,1.1960458755493164,0.00030730900471098721
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[80.0, 120.0)",3352,0.8596339225769043,0.00022071989951655269
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[120.0, 160.0)",2272,0.5819849967956543,0.00014960489352233708
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[160.0, 200.0)",1550,0.39671462774276733,0.00010206319711869583
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 240.0)",1120,0.28739997744560242,7.3748888098634779e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[240.0, 280.0)",719,0.1839873194694519,4.7344154154416174e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[280.0, 320.0)",470,0.12009213864803314,3.0948194762459025e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[320.0, 360.0)",285,0.073133036494255066,1.8766459106700495e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[360.0, 400.0)",163,0.041826963424682617,1.073309795174282e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 440.0)",89,0.022838035598397255,5.8604027799447067e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[440.0, 480.0)",36,0.0087246429175138474,2.3705001694906969e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[480.0, 520.0)",25,0.0064151785336434841,1.6461806353618158e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[520.0, 560.0)",14,0.0035924999974668026,9.218611580763536e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[560.0, 600.0)",12,0.0030792856123298407,7.9016672316356562e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 640.0)",5,0.0012830356135964394,3.2923611570367939e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[640.0, 680.0)",7,0.0017962499987334013,4.609305790381768e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[680.0, 720.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[720.0, 760.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[760.0, 800.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 840.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[840.0, 880.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[880.0, 920.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[920.0, 960.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[960.0, 1000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1040.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1040.0, 1080.0)",0,0,0
