dataset,met_over_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.049999999999999996)",1945,0.49807444214820862,0.00012807284656446427
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.049999999999999996, 0.09999999999999999)",2438,0.6250949501991272,0.00016053553554229438
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.09999999999999999, 0.15)",1625,0.416473388671875,0.0001070017387974076
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.15, 0.19999999999999998)",988,0.25301462411880493,6.5057058236561716e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.19999999999999998, 0.24999999999999997)",514,0.13189606368541718,3.3845473808469251e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.24999999999999997, 0.3)",228,0.058506425470113754,1.5013167285360396e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.3, 0.35)",103,0.025917321443557739,6.7822643359249923e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.35, 0.39999999999999997)",32,0.0082114282995462418,2.1071111859782832e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.39999999999999997, 0.44999999999999996)",8,0.0020528570748865604,5.2677779649457079e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.44999999999999996, 0.49999999999999994)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.49999999999999994, 0.5499999999999999)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.5499999999999999, 0.6)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 0.049999999999999996)",11698,0.0083840778097510338,6.1853397959055201e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.049999999999999996, 0.09999999999999999)",4785,0.0034227105788886547,2.5300779249448624e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.09999999999999999, 0.15)",1844,0.0013277819380164146,9.750185103740705e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.15, 0.19999999999999998)",872,0.00061953457770869136,4.6107165307951448e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.19999999999999998, 0.24999999999999997)",544,0.00038829987170174718,2.8764102211198406e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.24999999999999997, 0.3)",368,0.00026032087043859065,1.9458069877575923e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.3, 0.35)",239,0.00017378963821101934,1.2637170476725856e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.35, 0.39999999999999997)",129,9.234846947947517e-05,6.8208994008500667e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.39999999999999997, 0.44999999999999996)",29,2.1087445929879323e-05,1.5333805405970402e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.44999999999999996, 0.49999999999999994)",4,2.9086131689837202e-06,2.1150076048165323e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.49999999999999994, 0.5499999999999999)",0,0,0
