dataset,mht_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 50.0)",3981,1.0189869403839111,0.00026213779347017407
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[50.0, 100.0)",5321,1.363866925239563,0.00035037306952290237
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[100.0, 150.0)",3530,0.90530997514724731,0.00023244069598149508
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[150.0, 200.0)",2157,0.55247515439987183,0.00014203246973920614
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 250.0)",1393,0.35694053769111633,9.1725181846413761e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[250.0, 300.0)",768,0.1970742791891098,5.05706702824682e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[300.0, 350.0)",405,0.10392589122056961,2.6668125428841449e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[350.0, 400.0)",241,0.061329104006290436,1.5869181879679672e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 450.0)",91,0.022838035598397255,5.9920976127614267e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[450.0, 500.0)",39,0.010007678531110287,2.5680417365947505e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[500.0, 550.0)",21,0.0053887497633695602,1.3827917655362398e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[550.0, 600.0)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 650.0)",9,0.0023094641510397196,5.9262504237267422e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[650.0, 700.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[700.0, 750.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[750.0, 800.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 850.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[850.0, 900.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[900.0, 950.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[950.0, 1000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1050.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1100.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1150.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1150.0, 1200.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1250.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1250.0, 1300.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1350.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1350.0, 1400.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1450.0)",0,0,0
