dataset,njet,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, -0.5)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.5, 0.5)",4050,1.0377192497253418,0.00026668125065043569
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.5, 1.5)",6041,1.5475976467132568,0.00039778309292159975
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.5, 2.5)",7014,1.7972763776779175,0.00046185243991203606
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.5, 3.5)",786,0.20117999613285065,5.1755920139839873e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.5, 4.5)",75,0.019245535135269165,4.938541678711772e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.5, 5.5)",7,0.0017962499987334013,4.609305790381768e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.5, 6.5)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[6.5, 7.5)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[7.5, 8.5)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[8.5, 9.5)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[9.5, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, -0.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-0.5, 0.5)",276,0.0002006943104788661,1.4593552755126638e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.5, 1.5)",528,0.00038393694558180869,2.791810116420379e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.5, 2.5)",12644,0.0090617844834923744,6.6855392333309283e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.5, 3.5)",6266,0.0044850814156234264,3.3131593024648964e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.5, 4.5)",1420,0.0010151059832423925,7.5082767780898507e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.5, 5.5)",165,0.00011852598981931806,8.7244066138136844e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.5, 6.5)",15,1.09072989289416e-05,7.9312788975327564e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[6.5, 7.5)",2,1.4543065844918601e-06,1.0575038024082661e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[7.5, 8.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[8.5, 9.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[9.5, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, -0.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-0.5, 0.5)",8445,0.0081408508121967316,8.0832904814087669e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.5, 1.5)",5645,0.0054249512031674385,5.4032178731233671e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1.5, 2.5)",1530,0.0014733951538801193,1.4644683243858481e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[2.5, 3.5)",202,0.00018392980564385653,1.9334810141824477e-10
