dataset,dijet_deta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.2)",1329,0.0012505614431574941,1.2431915497046475e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.2, 0.4)",1234,0.0011741544585675001,1.1543253020107613e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.4, 0.6000000000000001)",1213,0.0011519093532115221,1.1346812378576487e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.6000000000000001, 0.8)",1172,0.0011161237489432096,1.0963284724496702e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.8, 1.0)",1053,0.0010010295081883669,9.8501184986332646e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.0, 1.2000000000000002)",960,0.00091881933622062206,8.9801643898823613e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.2000000000000002, 1.4000000000000001)",891,0.00085595279233530164,8.3347151402790587e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.4000000000000001, 1.6)",772,0.00072731805266812444,7.2215489144156209e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.6, 1.8)",667,0.00063930480973795056,6.2393434863139419e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.8, 2.0)",546,0.00052227627020329237,5.1074683371510332e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.0, 2.2)",471,0.00043813174124807119,4.4058931503165866e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.2, 2.4000000000000004)",356,0.00033464367152191699,3.3301442159405781e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.4000000000000004, 2.6)",265,0.00025436788564547896,2.4788995856006579e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.6, 2.8000000000000003)",204,0.0001934356550918892,1.908284918972214e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.8000000000000003, 3.0)",159,0.00015184699441306293,1.4873396958492435e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.0, 3.2)",118,0.00010832396219484508,1.1038119029915805e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.2, 3.4000000000000004)",85,8.0275793152395636e-05,7.9511876249771518e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.4000000000000004, 3.6)",59,5.7063516578637064e-05,5.5190595149579025e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.6, 3.8000000000000003)",22,2.1277921405271627e-05,2.057954327783218e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.8000000000000003, 4.0)",22,2.1277921405271627e-05,2.057954327783218e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.0, 4.2)",11,1.0638960702635814e-05,1.028977163891609e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.2, 4.4)",6,5.803069598186994e-06,5.6126028304126496e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.4, 4.6000000000000005)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.6000000000000005, 4.800000000000001)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.800000000000001, 5.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.0, 5.2)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.2, 5.4)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[6.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 0.2)",1594,0.001349183265119791,1.1984253589503169e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.2, 0.4)",1591,0.0013604552950710058,1.1961698298534884e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.4, 0.6000000000000001)",1531,0.0013101644581183791,1.1510596920061289e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.6000000000000001, 0.8)",1546,0.0013179682428017259,1.1623372264679688e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.8, 1.0)",1403,0.0011974434601143003,1.0548247830755031e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",1405,0.0011957093374803662,1.0563284691400554e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000001)",1229,0.0010517733171582222,9.2400548323823273e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.4000000000000001, 1.6)",1027,0.000876622274518013,7.7213480054183492e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.6, 1.8)",879,0.0007448254618793726,6.6086314198798846e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.8, 2.0)",719,0.00061996531439945102,5.4056953358028181e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.0, 2.2)",631,0.0005263201892375946,4.7440801287379486e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",500,0.00042833967017941177,3.759176026019162e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6)",389,0.00033556163543835282,2.9246391419768258e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.6, 2.8000000000000003)",309,0.0002627265639603138,2.3231708223825365e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.8000000000000003, 3.0)",219,0.0001864231307990849,1.646519171005778e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.0, 3.2)",171,0.00014480308163911104,1.2856382625159313e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",105,9.1043853899464011e-05,7.894269959951572e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6)",76,6.5898406319320202e-05,5.7139477177559073e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.6, 3.8000000000000003)",57,4.7689638449810445e-05,4.2854608750531042e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.8000000000000003, 4.0)",40,3.2949203159660101e-05,3.0073409040820565e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.0, 4.2)",18,1.5607518434990197e-05,1.3533034068369254e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.2, 4.4)",14,1.2139180398662575e-05,1.0525693164287198e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.4, 4.6000000000000005)",7,6.0695901993312873e-06,5.2628465821435988e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.6000000000000005, 4.800000000000001)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.800000000000001, 5.0)",4,3.4683373542065965e-06,3.0073409040820565e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.0, 5.2)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.2, 5.4)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[6.0, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.2)",1412,0.00013842321641277522,1.5022684485277438e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.2, 0.4)",1394,0.000137804338010028,1.4831177952423502e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.4, 0.6000000000000001)",1319,0.0001298620190937072,1.4033230306964573e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000001, 0.8)",1358,0.00013574140029959381,1.4448163151992155e-11
