dataset,dijet_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 100.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[100.0, 200.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[200.0, 300.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[300.0, 400.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[400.0, 500.0)",6,5.803069598186994e-06,5.6126028304126496e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[500.0, 600.0)",31,2.9982526029925793e-05,2.8998447740291589e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[600.0, 700.0)",122,0.00011412703315727413,1.1412292638679489e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[700.0, 800.0)",212,0.0001973043690668419,1.9831196407249507e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[800.0, 900.0)",315,0.00030272681033238769,2.9466165618607931e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[900.0, 1000.0)",412,0.0003946087381336838,3.8539874069876134e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1000.0, 1100.0)",463,0.00043619738426059484,4.3310585673417279e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1100.0, 1200.0)",527,0.00050389987882226706,4.9297360638078658e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1200.0, 1300.0)",574,0.00054742291104048491,5.3693899326745509e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1300.0, 1400.0)",592,0.00056096340995281935,5.5377680219237391e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1400.0, 1500.0)",605,0.00057740544434636831,5.6593746355915187e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1500.0, 1600.0)",644,0.00060351926367729902,6.0241939214833451e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1600.0, 1700.0)",650,0.00061319104861468077,6.0803195811587329e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1700.0, 1800.0)",718,0.00068282784195616841,6.7164146466680563e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1800.0, 1900.0)",698,0.00066928734304383397,6.5293281892309096e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1900.0, 2000.0)",680,0.00064414070220664144,6.3609500999817215e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2000.0, 2100.0)",655,0.00062769866781309247,6.1270916118516539e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2100.0, 2200.0)",643,0.00060255208518356085,6.0148391822778535e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2200.0, 2300.0)",588,0.0005628977669402957,5.5003507304363097e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2300.0, 2400.0)",533,0.00050776859279721975,4.9858622785947659e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2400.0, 2500.0)",472,0.00045070506166666746,4.415247611966322e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2500.0, 2600.0)",400,0.00038106823922134936,3.7417352549695693e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2600.0, 2700.0)",347,0.00032400470809079707,3.245955171315984e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2700.0, 2800.0)",244,0.0002340571372769773,2.2824585277358977e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2800.0, 2900.0)",180,0.00017409208521712571,1.6837808924918818e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2900.0, 3000.0)",121,0.00011315985466353595,1.1318748716071525e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3000.0, 3100.0)",67,6.4800944528542459e-05,6.26740673248527e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3100.0, 3200.0)",40,3.8687132473569363e-05,3.7417353937474473e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3200.0, 3300.0)",25,2.2245099899009801e-05,2.3385845343559808e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3300.0, 3400.0)",13,1.0638960702635814e-05,1.2160639682734509e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3400.0, 3500.0)",11,1.0638960702635814e-05,1.028977163891609e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3500.0, 3600.0)",6,5.803069598186994e-06,5.6126028304126496e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3600.0, 3700.0)",5,4.8358915591961704e-06,4.6771692421843092e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3700.0, 3800.0)",8,7.737426130915992e-06,7.4834704405501995e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3800.0, 3900.0)",5,4.8358915591961704e-06,4.6771692421843092e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3900.0, 4000.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4000.0, 4100.0)",0,0,0
