dataset,ht,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 70.0)",86,8.3177328633610159e-05,8.0447308536957252e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[70.0, 140.0)",140,0.00013540496001951396,1.309607283728198e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[140.0, 210.0)",244,0.00023212278028950095,2.2824585277358977e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[210.0, 280.0)",311,0.00030079245334491134,2.9091992703733638e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[280.0, 350.0)",431,0.00041298512951470912,4.0317196803307809e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[350.0, 420.0)",501,0.00047875323798507452,4.6865233915838189e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[420.0, 490.0)",538,0.00051453884225338697,5.0326337541761745e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[490.0, 560.0)",615,0.00058514287229627371,5.7529181418658482e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[560.0, 630.0)",687,0.0006567140226252377,6.4264304988626009e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[630.0, 700.0)",759,0.00071861344622448087,7.0999428558593536e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[700.0, 770.0)",777,0.00073989137308672071,7.2683203899970295e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[770.0, 840.0)",804,0.00076987390639260411,7.5208878014265679e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[840.0, 910.0)",812,0.00077374262036755681,7.5957223844014266e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[910.0, 980.0)",818,0.00076987390639260411,7.6518485991883267e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[980.0, 1050.0)",756,0.00071571191074326634,7.0718797484659035e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1050.0, 1120.0)",740,0.0007060401258058846,6.9222100274046738e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1120.0, 1190.0)",752,0.00071764626773074269,7.0344624569784742e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1190.0, 1260.0)",695,0.00065864837961271405,6.5012650818374595e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1260.0, 1330.0)",646,0.00061705976258963346,6.0429022896713036e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1330.0, 1400.0)",626,0.00059965054970234632,5.8558158322341569e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1400.0, 1470.0)",536,0.00050680141430348158,5.013925385988216e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1470.0, 1540.0)",513,0.00048649066593497992,4.7987752660461069e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1540.0, 1610.0)",471,0.00044780352618545294,4.4058931503165866e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1610.0, 1680.0)",468,0.00044490199070423841,4.3778303204788926e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1680.0, 1750.0)",341,0.00032207035110332072,3.18982923408484e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1750.0, 1820.0)",333,0.00031820163712836802,3.1149946511099813e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1820.0, 1890.0)",264,0.00024566327920183539,2.4695451239509225e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1890.0, 1960.0)",227,0.00021954945987090468,2.1234347613585669e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1960.0, 2030.0)",221,0.00020794333249796182,2.0673086853495448e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2030.0, 2100.0)",204,0.00019537001207936555,1.908284918972214e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2100.0, 2170.0)",122,0.00011606139014475048,1.1412292638679489e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2170.0, 2240.0)",119,0.0001112254976760596,1.1131662258634378e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2240.0, 2310.0)",87,8.2210150139871985e-05,8.1382740824142985e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2310.0, 2380.0)",106,0.0001005865415208973,9.9155982036247536e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2380.0, 2450.0)",55,5.3194806241663173e-05,5.1448859061942187e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2450.0, 2520.0)",54,5.2227627747924998e-05,5.0513426774756454e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2520.0, 2590.0)",47,4.5457378291757777e-05,4.3965390356115464e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2590.0, 2660.0)",27,2.417945688648615e-05,2.5256713387378227e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2660.0, 2730.0)",24,2.3212278392747976e-05,2.2450411321650598e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2730.0, 2800.0)",14,1.3540495274355635e-05,1.309607283728198e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2800.0, 2870.0)",13,1.2573317690112162e-05,1.2160639682734509e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2870.0, 2940.0)",13,1.2573317690112162e-05,1.2160639682734509e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2940.0, 3010.0)",10,7.737426130915992e-06,9.3543384843686184e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3010.0, 3080.0)",5,4.8358915591961704e-06,4.6771692421843092e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3080.0, 3150.0)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3150.0, 3220.0)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3220.0, 3290.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3290.0, 3360.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3360.0, 3430.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3430.0, 3500.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3500.0, inf)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 70.0)",16,1.3873349416826386e-05,1.2029363616328226e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[70.0, 140.0)",33,2.8613783797482029e-05,2.4810563326038704e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[140.0, 210.0)",50,4.3354215449653566e-05,3.7591763035749182e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[210.0, 280.0)",89,7.7170509030111134e-05,6.6913335983187494e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[280.0, 350.0)",110,9.3645110609941185e-05,8.2701873127533077e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[350.0, 420.0)",144,0.00012486014747992158,1.0826427254695403e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[420.0, 490.0)",208,0.00017861937521956861,1.5638172701226694e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[490.0, 560.0)",270,0.00022717608953826129,2.0299550929081533e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[560.0, 630.0)",299,0.00025752405053935945,2.2479873518221893e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[630.0, 700.0)",345,0.00029220743454061449,2.5938315384443911e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[700.0, 770.0)",404,0.00034509957185946405,3.0374142090394685e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[770.0, 840.0)",466,0.00039885879959911108,3.5035521706028305e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[840.0, 910.0)",512,0.00043180800275877118,3.8493963572250323e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[910.0, 980.0)",581,0.00049857347039505839,4.3681627759362129e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[980.0, 1050.0)",606,0.00051331392023712397,4.5561215911149588e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1050.0, 1120.0)",642,0.00055146566592156887,4.8267823071768134e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1120.0, 1190.0)",692,0.00059828819939866662,5.2026999375343053e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1190.0, 1260.0)",697,0.00059742113808169961,5.2402915340366008e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1260.0, 1330.0)",736,0.00063123740255832672,5.5335069859552277e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1330.0, 1400.0)",749,0.00064077530987560749,5.6312460250396157e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1470.0)",813,0.00069453456671908498,6.1124205696927447e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1470.0, 1540.0)",767,0.00065118033671751618,5.7665761055147868e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1540.0, 1610.0)",762,0.00065378157887607813,5.7289845090124913e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1610.0, 1680.0)",711,0.0006026236223988235,5.345548448332238e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1680.0, 1750.0)",734,0.00062256655655801296,5.5184706804212169e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1750.0, 1820.0)",710,0.00060175650287419558,5.3380300180094764e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1820.0, 1890.0)",670,0.00057227566139772534,5.0372961357680879e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1890.0, 1960.0)",642,0.00054973148507997394,4.8267823071768134e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1960.0, 2030.0)",583,0.00049510516691952944,4.3831993590259799e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2030.0, 2100.0)",522,0.0004491496947593987,3.9245798277853794e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2100.0, 2170.0)",505,0.00042573839891701937,3.7967679000772137e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2170.0, 2240.0)",467,0.0003945233765989542,3.5110706009255921e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2240.0, 2310.0)",422,0.00036417541559785604,3.1727445670703958e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2310.0, 2380.0)",351,0.00030087825143709779,2.6389415652694481e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2380.0, 2450.0)",310,0.00026706198696047068,2.330689252705298e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2450.0, 2520.0)",270,0.00023064443666953593,2.0299550929081533e-10
