dataset,min_dphi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",846,0.00081242976011708379,7.9137701947118444e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.08)",1848,0.0017602643929421902,1.728681642276797e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.08, 0.16)",1538,0.0014546361053362489,1.4386971614044342e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.16, 0.24)",1185,0.0011190252844244242,1.108489078305297e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.24, 0.32)",853,0.00081726565258577466,7.9792505935927238e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.32, 0.4)",712,0.00067702477099373937,6.6602884318811562e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.4, 0.48)",547,0.0005213090917095542,5.1168230763565248e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.48, 0.56)",444,0.00041975537897087634,4.1533260164428043e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.56, 0.64)",388,0.00036365902633406222,3.6294831029515251e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.64, 0.72)",318,0.00030175963183864951,2.9746793916984871e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.72, 0.8)",308,0.00029208784690126777,2.8811361629799137e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.8, 0.88)",290,0.00027274427702650428,2.7127580737307255e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.88, 0.96)",242,0.0002340571372769773,2.263749743214305e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.96, 1.04)",234,0.00021664792438969016,2.1889151602394463e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.04, 1.12)",212,0.00020310744002927095,1.9831196407249507e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.12, 1.2)",217,0.00020987768948543817,2.0298913938621155e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.2, 1.28)",191,0.00018473104864824563,1.7866785828601905e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.28, 1.36)",213,0.00020407461852300912,1.9924739635968081e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.36, 1.44)",205,0.00019440283358562738,1.9176392418440713e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.44, 1.52)",209,0.00020214026153553277,1.9550566721093787e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.52, 1.6)",183,0.00017312490672338754,1.7118438611074538e-10
