dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.4, -3.2)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.2, -3.0)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.0, -2.8)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.8, -2.5999999999999996)",8,7.737426130915992e-06,7.4834704405501995e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.5999999999999996, -2.4)",26,2.5146635380224325e-05,2.4321279365469017e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.4, -2.2)",52,4.6424556785495952e-05,4.8642558730938035e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.2, -2.0)",79,7.0604015490971506e-05,7.389926864886931e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.0, -1.7999999999999998)",110,0.00010445525549585,1.0289771812388437e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",190,0.00018376387015450746,1.7773242599883332e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.5999999999999996, -1.4)",280,0.00026307249208912253,2.619214567456396e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.4, -1.1999999999999997)",382,0.00036365902633406222,3.5733571657203811e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.1999999999999997, -1.0)",514,0.00048939220141619444,4.8081300052515985e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.0, -0.7999999999999998)",636,0.00059771619271486998,5.9493587833969741e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",738,0.0007021714118309319,6.9035016592167153e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",863,0.00082306872354820371,8.072793544755541e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",932,0.00089173833839595318,8.7182427943588436e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.19999999999999973, 0.0)",1019,0.00096621108241379261,9.5320706883228468e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.20000000000000018)",977,0.00093719572760164738,9.1391882950375702e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.20000000000000018, 0.40000000000000036)",935,0.0008946398738771677,8.7463059017522937e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.40000000000000036, 0.6000000000000005)",908,0.00085885432781651616,8.4937390454342676e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.6000000000000005, 0.8000000000000007)",748,0.00071571191074326634,6.9970446103795325e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.8000000000000007, 1.0)",617,0.00058901158627122641,5.7716265100538067e-10
