dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.2, -2.986666666666667)",313,0.00029885809635743499,2.9279079161170785e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.986666666666667, -2.7733333333333334)",404,0.00038300259620882571,3.7791525464569986e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.7733333333333334, -2.56)",382,0.00036559338332153857,3.5733571657203811e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.56, -2.3466666666666667)",386,0.00036365902633406222,3.6107744572078104e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",405,0.00037623234675265849,3.788507008106734e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",399,0.00038203541771508753,3.7323807933198339e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",361,0.0003452826349530369,3.3769159690777428e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",385,0.00035882313386537135,3.6014202731138312e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.4933333333333334, -1.28)",423,0.00040331334457732737,3.9568850973559222e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.28, -1.0666666666666669)",387,0.00037042927579022944,3.6201289188575458e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",392,0.00036946209729649127,3.6669003944389544e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",376,0.00035398724139668047,3.5172312284892371e-10
