dataset,sublFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 40.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[40.0, 80.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[80.0, 120.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[120.0, 160.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[160.0, 200.0)",211,0.00020020590454805642,1.9737653178530934e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[200.0, 240.0)",1283,0.001217677490785718,1.2001615257162257e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[240.0, 280.0)",1251,0.0011809247080236673,1.1702276925262822e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[280.0, 320.0)",1138,0.0010832396801561117,1.0645236914186285e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[320.0, 360.0)",1059,0.0010087669361382723,9.9062436031971401e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[360.0, 400.0)",940,0.00089560705237090588,8.7930779324452146e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[400.0, 440.0)",804,0.00076407083543017507,7.5208878014265679e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[440.0, 480.0)",682,0.00065187813015654683,6.37965846816968e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[480.0, 520.0)",606,0.00056870083790272474,5.6687288196854979e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[520.0, 560.0)",534,0.00050486705731600523,4.9952164626887452e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[560.0, 600.0)",463,0.00044006609823554754,4.3310585673417279e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[600.0, 640.0)",401,0.00037816670374013484,3.7510894390635485e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[640.0, 680.0)",337,0.00032207035110332072,3.1524119425974106e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[680.0, 720.0)",318,0.00030562834581360221,2.9746793916984871e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[720.0, 760.0)",302,0.00028435041895136237,2.8250102257487697e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[760.0, 800.0)",217,0.00020794333249796182,2.0298913938621155e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[800.0, 840.0)",168,0.00016055158630479127,1.5715287404738376e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[840.0, 880.0)",175,0.00016732183576095849,1.637009139354717e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[880.0, 920.0)",163,0.0001557156938361004,1.5247571261145509e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[920.0, 960.0)",126,0.00011993010411970317,1.1786466247443173e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[960.0, 1000.0)",89,8.6078864114824682e-05,8.3253605398514452e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1000.0, 1040.0)",78,7.157119398470968e-05,7.2963836361683576e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1040.0, 1080.0)",85,8.2210150139871985e-05,7.9511876249771518e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1080.0, 1120.0)",51,4.9326092266710475e-05,4.7707122974305349e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1120.0, 1160.0)",36,3.4818418498616666e-05,3.3675617849837636e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1160.0, 1200.0)",26,2.5146635380224325e-05,2.4321279365469017e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1200.0, 1240.0)",28,2.708099054871127e-05,2.619214567456396e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1240.0, 1280.0)",20,1.9343566236784682e-05,1.8708676968737237e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1280.0, 1320.0)",9,8.7046046246541664e-06,8.4189044624594089e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1320.0, 1360.0)",13,1.0638960702635814e-05,1.2160639682734509e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1360.0, 1400.0)",4,3.868713065457996e-06,3.7417352202750997e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1400.0, 1440.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1440.0, 1480.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1480.0, 1520.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1520.0, 1560.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1560.0, 1600.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1600.0, 1640.0)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1640.0, 1680.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1680.0, 1720.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1720.0, 1760.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1760.0, 1800.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1800.0, inf)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 40.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[40.0, 80.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[80.0, 120.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[120.0, 160.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[160.0, 200.0)",127,0.00011011971218977123,9.5483072837243554e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[200.0, 240.0)",947,0.0008107238681986928,7.1198796858240598e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[240.0, 280.0)",1031,0.00087315391283482313,7.7514211715978831e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[280.0, 320.0)",952,0.00081505929119884968,7.1574712823263553e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[320.0, 360.0)",1001,0.00084887555567547679,7.5258704823610856e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[360.0, 400.0)",890,0.00076650257688015699,6.6913335983187494e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[400.0, 440.0)",933,0.00078471133019775152,7.0146227715284226e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[440.0, 480.0)",826,0.00070060417056083679,6.2101590536656204e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[480.0, 520.0)",831,0.00070667371619492769,6.2477506501679159e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[520.0, 560.0)",739,0.00062863616039976478,5.5560622769235124e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[560.0, 600.0)",747,0.00063904112903401256,5.6162091643940926e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[600.0, 640.0)",638,0.00054626312339678407,4.7967085858857672e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[640.0, 680.0)",594,0.00050984561676159501,4.4659012599090886e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[680.0, 720.0)",569,0.00048470014007762074,4.2779424447303427e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[720.0, 760.0)",516,0.00043701051617972553,3.8794698009603223e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[760.0, 800.0)",485,0.00041013088775798678,3.6464009589565194e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[800.0, 840.0)",473,0.00039972589001990855,3.5561806277506491e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[840.0, 880.0)",424,0.00036764374817721546,3.1877814277159189e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[880.0, 920.0)",387,0.00033035912201739848,2.9096022813313027e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[920.0, 960.0)",390,0.00032949206070043147,2.9321572947438312e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[960.0, 1000.0)",321,0.00027659989427775145,2.4133911535884067e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1000.0, 1040.0)",299,0.00025578986969776452,2.2479873518221893e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1040.0, 1080.0)",270,0.00023411276924889535,2.0299550929081533e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1080.0, 1120.0)",214,0.00018555605493020266,1.6089274357256045e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1120.0, 1160.0)",175,0.00015000559506006539,1.3157117062512214e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1160.0, 1200.0)",182,0.00015434101806022227,1.36834016339904e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1200.0, 1240.0)",150,0.00012832848005928099,1.1277528216835364e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1240.0, 1280.0)",102,8.8442604464944452e-05,7.6687191319368964e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1280.0, 1320.0)",80,6.9366746174637228e-05,6.0146818081641129e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1320.0, 1360.0)",58,4.6822555304970592e-05,4.3606444843913295e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1360.0, 1400.0)",51,4.2487132304813713e-05,3.8343595659684482e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1400.0, 1440.0)",30,2.4278360797325149e-05,2.2555056780615423e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1440.0, 1480.0)",13,1.127209634432802e-05,9.7738579382666835e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1480.0, 1520.0)",10,8.6708432718296535e-06,7.5183522602051411e-12
