date,day,Total,Firefox,Terminal,Mattermost,VS Code,Skype
11-16,Monday,8:25:00,2:46:00,2:09:00,1:54:00,0:17:00,0:05:00
11-17,Tuesday,9:33:00,4:07:00,1:09:00,1:05:00,0:15:00,1:04:00
11-18,Wednesday,9:15:00,3:30:00,3:09:00,1:27:00,0:08:00,0:01:00
11-19,Thursday,11:08:00,1:44:00,7:02:00,0:51:00,0:33:00,0:28:00
11-20,Friday,12:04:00,2:38:00,4:35:00,0:54:00,0:18:00,1:36:00
11-21,Saturday,7:28:00,1:23:00,2:44:00,0:02:00,0:01:00,0:00:00
11-22,Sunday,6:30:00,1:59:00,0:53:00,0:09:00,0:13:00,0:02:00
11-23,Monday,10:44:00,1:33:00,3:49:00,0:48:00,1:22:00,0:15:00
11-24,Tuesday,12:10:00,1:51:00,4:03:00,1:15:00,1:03:00,1:14:00
11-25,Wednesday,11:11:00,2:36:00,0:15:00,0:22:00,5:22:00,0:55:00
11-26,Thursday,11:58:00,1:59:00,7:01:00,1:05:00,0:59:00,0:01:00
11-27,Friday,9:39:00,1:43:00,5:19:00,0:44:00,0:27:00,0:17:00
11-28,Saturday,9:02:00,1:44:00,3:50:00,0:23:00,0:43:00,0:03:00
11-29,Sunday,6:45:00,0:33:00,1:41:00,0:19:00,1:46:00,0:01:00
11-30,Monday,11:32:00,2:22:00,3:10:00,0:52:00,2:23:00,0:04:00
12-01,Tuesday,11:40:00,2:54:00,4:39:00,1:17:00,0:43:00,0:17:00
12-02,Wednesday,10:50:00,2:48:00,4:01:00,1:23:00,1:22:00,0:01:00
12-03,Thursday,9:03:00,1:20:00,4:00:00,1:07:00,1:25:00,0:24:00
12-04,Friday,10:53:00,2:36:00,4:30:00,0:47:00,0:55:00,0:10:00
12-05,Saturday,11:01:00,2:02:00,1:43:00,0:12:00,1:19:00,0:01:00
12-06,Sunday,8:07:00,1:21:00,2:14:00,0:36:00,0:35:00,0:01:00
12-07,Monday,11:08:00,2:47:00,2:18:00,1:57:00,0:13:00,0:34:00
12-08,Tuesday,12:18:00,2:28:00,3:38:00,1:24:00,2:29:00,0:11:00
12-09,Wednesday,9:55:00,2:33:00,2:33:00,1:10:00,2:11:00,0:20:00
12-10,Thursday,11:20:00,2:33:00,5:01:00,1:43:00,0:42:00,0:44:00
12-11,Friday,11:20:00,1:40:00,5:59:00,0:45:00,1:52:00,0:08:00
12-12,Saturday,9:24:00,1:38:00,1:48:00,1:23:00,1:58:00,0:00:00
12-13,Sunday,9:36:00,1:16:00,3:55:00,1:41:00,1:12:00,0:00:00
12-14,Monday,14:12:00,1:55:00,5:26:00,1:48:00,3:44:00,0:17:00
12-15,Tuesday,13:18:00,1:54:00,2:39:00,1:25:00,5:12:00,0:00:00
12-16,Wednesday,13:49:00,1:46:00,2:37:00,0:35:00,6:00:00,0:05:00
12-17,Thursday,15:00:00,0:51:00,3:40:00,0:56:00,8:33:00,0:00:00
12-18,Friday,16:18:00,1:13:00,0:19:00,1:16:00,11:54:00,0:01:00
